participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score
2,12,4,2,1,1,2,1
3,12,4,4,4,4,3,4
4,12,2,3,2,4,4,1
6,12,1,1,1,1,2,1
7,12,1,2,1,1,1,1
2,13,1,2,4,2,2,2
3,13,4,4,4,4,3,4
4,13,2,4,3,5,2,2
6,13,1,1,1,1,2,1
7,13,2,2,2,2,3,1
2,14,1,1,5,2,2,4
3,14,4,3,4,3,3,4
4,14,4,4,5,4,4,5
6,14,2,1,2,2,1,1
7,14,1,1,1,1,1,1
2,15,2,1,1,1,4,1
3,15,4,4,4,4,3,4
4,15,3,5,4,4,4,3
6,15,1,1,2,2,2,1
7,15,2,2,1,1,2,1
2,16,2,1,2,1,4,1
3,16,4,3,4,3,4,4
4,16,4,3,4,2,3,4
6,16,2,1,1,1,3,1
7,16,5,2,1,2,1,1
2,17,1,4,4,4,4,5
3,17,4,3,4,3,3,3
4,17,3,5,4,4,2,3
6,17,1,1,2,1,1,1
7,17,1,1,1,1,1,1
2,18,1,2,4,2,4,5
3,18,4,4,4,4,4,5
4,18,4,5,4,5,4,5
6,18,2,1,3,2,2,2
7,18,3,3,3,2,1,4
2,19,4,2,2,2,1,3
3,19,4,5,4,5,4,4
4,19,4,3,3,4,3,5
6,19,4,3,4,3,3,2
7,19,5,4,4,3,5,5
2,20,2,4,2,4,1,5
3,20,3,2,1,1,2,1
4,20,4,4,4,5,3,4
6,20,4,4,4,5,4,4
7,20,1,3,2,2,2,1
2,21,4,2,2,1,2,4
3,21,3,3,3,3,1,2
4,21,3,4,3,4,2,2
6,21,5,4,4,4,4,5
7,21,1,1,1,1,2,1
2,22,4,1,2,1,4,2
3,22,2,1,1,1,3,1
4,22,4,4,4,4,3,4
6,22,4,3,4,4,5,4
7,22,5,2,3,1,3,3
2,23,2,1,4,1,2,1
3,23,3,3,2,3,2,1
4,23,3,3,3,3,3,3
6,23,3,4,3,2,4,3
7,23,3,1,1,1,1,1
2,24,4,2,4,4,4,1
3,24,1,1,1,1,1,1
4,24,4,5,4,4,3,4
6,24,3,4,4,5,5,5
7,24,3,3,1,2,1,1
2,25,1,4,4,4,2,1
3,25,4,3,4,3,4,1
4,25,5,5,5,5,5,5
6,25,2,3,2,4,3,3
7,25,2,3,2,2,4,2
2,26,2,2,2,1,2,1
3,26,1,1,1,1,1,1
4,26,4,4,4,5,5,4
6,26,4,3,2,3,1,2
7,26,1,1,1,1,1,5
2,27,1,3,3,3,4,1
3,27,2,2,1,2,1,1
4,27,5,4,5,4,4,5
6,27,2,2,2,3,3,1
7,27,1,1,1,1,1,1
2,28,4,4,4,4,5,2
3,28,4,4,3,4,3,2
4,28,5,5,4,5,4,5
6,28,4,2,3,3,2,3
7,28,3,2,1,1,2,1
2,29,4,5,5,4,5,5
3,29,1,1,1,1,1,1
4,29,4,4,3,3,3,4
6,29,2,1,2,1,1,1
7,29,2,2,1,1,1,1
2,30,4,4,4,4,5,1
3,30,3,2,3,3,4,1
4,30,4,4,4,4,4,4
6,30,3,3,4,3,2,3
7,30,2,2,2,1,2,1
2,31,2,1,4,1,4,5
3,31,2,1,3,2,1,1
4,31,5,4,5,4,5,5
6,31,2,2,2,1,2,2
7,31,4,2,4,2,2,4
2,32,4,5,4,4,1,1
3,32,1,2,1,1,1,1
4,32,5,5,5,5,5,5
6,32,5,5,4,5,3,5
7,32,1,3,1,3,1,1
2,33,5,5,5,4,4,5
3,33,2,1,1,2,4,1
4,33,5,5,5,5,5,5
6,33,5,4,5,4,4,5
7,33,4,2,2,3,3,3
2,34,5,5,5,4,2,5
3,34,5,3,4,4,4,2
4,34,5,4,5,5,4,5
6,34,2,3,2,3,2,3
7,34,3,5,1,2,1,1
2,35,4,4,4,1,2,2
3,35,4,4,5,5,3,1
4,35,5,4,4,5,4,4
6,35,4,5,5,5,4,4
7,35,4,3,1,2,1,2
2,36,1,2,1,1,2,1
3,36,3,1,1,2,2,1
4,36,4,4,5,4,3,3
6,36,2,2,1,2,2,2
7,36,2,2,1,1,2,3
2,37,1,1,2,1,4,2
3,37,5,5,4,3,3,1
4,37,5,3,4,4,4,4
6,37,3,3,5,3,3,4
7,37,4,1,4,2,5,5
2,38,2,2,2,2,5,4
3,38,4,4,3,4,4,3
4,38,5,4,4,4,3,4
6,38,2,4,2,4,2,3
7,38,5,4,5,2,5,4
2,39,4,4,5,2,4,5
3,39,3,3,2,3,2,1
4,39,4,5,4,4,4,4
6,39,2,1,3,1,2,2
7,39,5,4,5,5,5,5
2,40,4,4,2,4,2,1
3,40,3,3,2,3,2,2
4,40,4,4,3,3,4,5
6,40,4,4,3,4,3,1
7,40,5,4,4,5,4,5
2,41,2,2,4,4,5,5
3,41,4,5,4,5,4,4
4,41,4,5,4,3,4,5
6,41,3,2,3,3,4,1
7,41,5,5,4,5,4,5
2,42,2,5,4,4,2,5
3,42,5,5,4,4,4,5
4,42,5,4,4,3,4,5
6,42,4,4,3,5,3,2
7,42,5,5,4,5,4,5
2,43,2,4,5,5,4,5
3,43,3,4,3,3,2,4
4,43,5,4,5,4,5,5
6,43,4,5,4,3,4,2
7,43,5,4,4,4,4,5
2,44,2,4,2,2,1,4
3,44,3,3,4,5,2,3
4,44,5,5,5,4,5,5
6,44,3,3,1,2,3,1
7,44,5,5,4,5,4,5
2,45,2,2,2,2,4,4
3,45,3,2,2,3,3,2
4,45,3,3,4,2,4,4
6,45,2,2,3,2,4,2
7,45,5,4,4,4,4,5
2,46,2,1,4,1,1,5
3,46,4,3,2,4,1,4
4,46,1,1,2,1,1,1
6,46,2,1,2,2,1,1
7,46,5,4,4,4,3,5
2,47,4,1,4,1,4,5
3,47,4,2,3,2,3,3
4,47,2,1,2,1,2,1
6,47,3,4,3,3,1,1
7,47,5,4,3,4,4,4
2,48,1,2,2,2,3,2
3,48,3,2,2,2,2,2
4,48,1,2,1,1,1,1
6,48,1,1,1,1,1,1
7,48,5,4,4,4,4,5
2,49,4,1,1,1,4,1
3,49,3,3,2,4,2,2
4,49,2,2,2,1,4,1
6,49,4,4,1,2,4,1
7,49,4,4,3,4,4,4
2,50,2,4,5,4,5,5
3,50,3,3,4,4,3,3
4,50,5,5,5,5,5,5
6,50,5,4,5,4,4,3
7,50,4,4,5,5,4,4
2,51,3,4,2,2,4,4
3,51,3,3,2,2,1,2
4,51,3,2,2,2,2,1
6,51,3,2,1,3,2,2
7,51,3,4,4,3,3,3
2,52,5,5,5,5,2,5
3,52,4,5,4,5,4,5
4,52,5,5,4,5,5,5
6,52,4,3,4,4,2,4
7,52,4,5,4,4,3,4
2,53,2,2,2,2,1,1
3,53,2,2,2,2,3,2
4,53,1,1,1,1,2,1
6,53,3,2,2,3,1,1
7,53,4,3,4,4,3,4
2,54,2,1,5,4,2,5
3,54,3,3,4,4,2,4
4,54,3,2,3,2,2,3
6,54,3,1,2,2,2,4
7,54,4,3,3,5,4,4
2,55,2,2,4,2,5,5
3,55,2,2,3,2,3,2
4,55,1,1,1,1,1,1
6,55,4,4,3,3,1,1
7,55,4,4,3,3,3,4
2,56,1,4,2,2,4,1
3,56,3,4,3,3,3,1
4,56,1,2,1,1,1,1
6,56,4,3,1,2,1,1
7,56,5,4,4,4,3,5
2,57,2,1,1,1,2,1
3,57,1,3,2,2,3,1
4,57,1,1,1,1,1,1
6,57,3,2,1,1,1,1
7,57,4,3,5,4,3,5
2,58,1,2,2,2,2,4
3,58,3,3,3,2,2,2
4,58,3,1,1,1,1,1
6,58,4,2,3,1,1,1
7,58,5,3,4,4,5,5
2,59,1,1,5,1,4,2
3,59,3,4,4,3,4,4
4,59,4,3,5,3,5,5
6,59,4,1,3,2,5,3
7,59,5,4,4,4,4,5
2,60,2,1,1,1,4,1
3,60,2,4,2,3,2,1
4,60,1,1,1,1,2,1
6,60,4,3,1,2,2,1
7,60,4,5,4,4,3,5
2,61,2,2,4,2,3,5
3,61,4,3,3,3,4,4
4,61,5,4,5,4,5,5
6,61,4,3,5,3,5,3
7,61,5,4,5,4,3,5
2,62,4,4,5,4,4,5
3,62,3,3,3,2,2,2
4,62,1,1,1,1,1,1
6,62,4,3,3,3,2,1
7,62,4,3,5,4,4,5
2,63,5,4,1,3,2,5
3,63,3,5,4,4,3,3
4,63,1,1,1,1,1,1
6,63,4,2,1,4,3,1
7,63,4,4,5,4,4,4
2,64,4,5,4,4,1,5
3,64,3,3,3,3,2,1
4,64,3,2,1,1,1,1
6,64,2,2,2,3,1,1
7,64,5,5,4,4,3,5
2,65,1,2,2,1,1,2
3,65,2,4,3,2,2,3
4,65,1,1,1,1,1,1
6,65,3,2,2,1,1,1
7,65,4,4,5,4,3,4
2,66,1,2,4,2,1,5
3,66,4,4,5,3,4,4
4,66,5,3,5,3,5,5
6,66,4,2,4,3,3,2
7,66,5,4,5,4,4,4
2,67,2,3,1,4,2,5
3,67,2,3,2,3,2,4
4,67,5,5,4,4,5,5
6,67,3,4,3,3,1,1
7,67,4,5,4,5,3,4
2,68,4,1,4,1,4,4
3,68,3,3,3,2,2,1
4,68,1,1,1,1,1,1
6,68,2,1,1,3,2,1
7,68,4,3,4,3,3,4
2,69,4,4,4,2,4,5
3,69,4,4,4,4,4,4
4,69,5,4,5,4,5,5
6,69,3,2,3,3,3,1
7,69,4,4,4,4,3,4
2,70,2,1,2,3,5,5
3,70,2,4,3,3,3,2
4,70,1,1,1,1,1,1
6,70,4,2,3,4,2,1
7,70,4,3,4,3,3,4
2,71,1,1,2,1,1,4
3,71,3,4,4,3,3,4
4,71,5,3,5,4,5,5
6,71,2,1,1,4,1,1
7,71,4,3,4,4,3,4
2,72,1,2,3,1,1,5
3,72,2,3,2,2,1,3
4,72,2,2,2,1,1,1
6,72,3,1,4,3,3,2
7,72,4,3,3,4,3,4
2,73,1,1,1,1,1,1
3,73,2,2,2,3,2,1
4,73,3,3,2,2,2,2
6,73,4,1,1,1,1,1
7,73,4,4,4,4,3,4
2,74,4,4,2,2,2,5
3,74,3,2,2,2,1,1
4,74,1,1,1,3,1,1
6,74,2,2,2,3,1,1
7,74,4,4,4,4,3,4
2,75,1,2,2,2,2,5
3,75,3,3,3,4,2,1
4,75,3,3,2,1,2,2
6,75,4,2,1,4,1,2
7,75,4,4,4,4,3,4
2,76,2,2,2,2,4,5
3,76,4,5,5,4,3,5
4,76,4,3,5,3,5,5
6,76,4,2,4,3,4,2
7,76,3,2,3,3,2,3
2,77,4,4,5,4,4,5
3,77,2,3,2,3,2,2
4,77,2,2,1,1,1,1
6,77,3,1,1,1,2,1
7,77,3,3,4,3,2,4
2,78,4,4,4,2,2,5
3,78,3,4,2,3,3,4
4,78,2,1,2,1,3,1
6,78,4,3,3,4,3,2
7,78,4,3,4,3,3,4
2,79,4,5,2,4,1,5
3,79,4,5,5,4,3,5
4,79,1,1,1,1,1,1
6,79,3,3,1,3,1,1
7,79,4,5,4,5,3,4
2,80,3,2,3,2,2,4
3,80,3,2,4,2,1,4
4,80,4,2,5,2,3,4
6,80,3,1,5,4,5,5
7,80,1,1,4,1,1,1
2,81,4,3,4,4,3,4
3,81,4,3,3,3,2,4
4,81,5,3,5,3,4,5
6,81,2,4,5,4,4,5
7,81,1,1,1,1,1,1
2,82,5,4,5,5,4,4
3,82,2,3,3,3,4,2
4,82,4,3,3,3,2,2
6,82,2,1,1,2,2,1
7,82,3,3,4,2,3,2
2,83,1,1,1,1,1,1
3,83,2,1,1,1,1,4
4,83,3,1,1,1,1,1
6,83,1,1,1,5,5,5
7,83,1,1,1,1,1,3
2,84,4,3,5,4,4,3
3,84,4,4,3,2,3,1
4,84,4,3,3,2,2,1
6,84,3,2,4,2,2,5
7,84,2,1,1,1,1,1
2,85,5,4,5,5,4,4
3,85,5,4,3,4,3,3
4,85,4,5,4,5,3,2
6,85,3,4,2,4,4,5
7,85,3,4,1,1,1,1
2,86,5,3,4,4,4,4
3,86,3,2,5,4,4,5
4,86,4,2,5,2,3,3
6,86,3,2,3,4,2,5
7,86,4,3,5,4,4,5
2,87,4,4,5,4,4,4
3,87,2,2,2,2,3,1
4,87,4,1,4,3,3,2
6,87,2,2,2,2,4,5
7,87,2,2,2,1,2,2
2,88,4,5,4,4,3,4
3,88,4,5,3,4,4,4
4,88,4,3,4,3,3,3
6,88,2,4,4,4,2,5
7,88,5,5,3,3,4,5
2,89,5,4,4,4,3,4
3,89,4,4,5,4,3,2
4,89,2,1,1,3,2,1
6,89,3,4,5,2,1,5
7,89,1,1,1,1,1,1
2,90,3,2,4,3,4,3
3,90,1,3,2,2,2,4
4,90,3,1,1,2,1,1
6,90,4,2,2,4,2,5
7,90,1,1,1,1,1,5
2,91,4,2,3,2,2,3
3,91,2,2,5,4,1,5
4,91,5,3,5,3,4,5
6,91,5,5,5,5,5,5
7,91,2,1,3,1,1,5
2,92,5,4,5,5,5,4
3,92,4,3,4,3,5,3
4,92,4,3,4,4,5,2
6,92,1,2,2,3,5,2
7,92,5,3,5,4,5,5
2,93,4,3,5,4,4,4
3,93,3,2,3,3,2,1
4,93,4,1,1,3,3,1
6,93,2,1,2,2,5,4
7,93,2,1,1,1,2,1
2,94,5,5,4,5,4,4
3,94,5,5,4,5,5,5
4,94,4,5,4,4,3,2
6,94,5,5,2,2,2,2
7,94,5,5,5,5,5,5
2,95,4,3,5,4,4,4
3,95,2,2,1,1,2,3
4,95,4,1,1,1,1,1
6,95,2,2,2,2,4,5
7,95,1,1,1,1,1,1
2,96,5,5,4,5,4,4
3,96,4,5,4,5,4,4
4,96,4,2,2,3,1,1
6,96,2,4,4,4,4,5
7,96,3,3,2,2,2,1
2,97,3,4,3,3,2,3
3,97,3,2,1,2,1,1
4,97,4,4,1,3,1,2
6,97,2,2,2,4,3,5
7,97,2,2,1,1,1,2
2,98,5,5,5,5,4,4
3,98,3,5,4,4,4,3
4,98,4,4,4,3,4,2
6,98,2,4,4,4,4,5
7,98,4,5,5,4,5,5
2,99,3,4,3,4,3,4
3,99,4,3,2,4,2,5
4,99,5,4,4,5,4,5
6,99,2,4,4,4,2,5
7,99,4,2,4,2,3,4
8,100,5,4,5,4,5,5
10,100,2,1,5,4,2,2
11,100,3,3,4,3,2,4
15,100,2,3,3,3,2,2
8,101,1,1,1,1,2,1
10,101,1,1,1,1,1,1
11,101,4,4,4,4,3,4
15,101,5,4,5,4,4,5
8,102,1,1,2,1,1,1
10,102,2,1,1,1,2,3
11,102,4,5,5,5,5,4
15,102,4,5,5,4,4,4
8,103,3,3,3,3,2,2
10,103,4,3,3,2,3,4
11,103,4,4,3,3,3,3
15,103,3,4,3,3,2,3
8,104,3,2,3,2,3,2
10,104,3,3,3,3,3,3
11,104,2,2,3,2,3,2
15,104,3,2,3,3,1,2
8,105,5,4,5,5,3,5
10,105,1,2,4,3,2,5
11,105,2,2,3,3,2,4
15,105,1,1,1,2,1,1
8,106,3,2,2,1,3,4
10,106,4,4,5,4,4,5
11,106,3,4,4,4,4,2
15,106,4,3,3,4,2,3
8,107,2,1,1,1,1,1
10,107,3,3,3,3,3,5
11,107,4,4,4,4,3,2
15,107,4,4,3,4,2,4
8,108,4,4,5,4,5,5
10,108,3,2,4,3,3,5
11,108,2,2,3,2,2,2
15,108,2,1,1,1,1,1
8,109,3,1,2,2,2,5
10,109,2,2,3,3,3,5
11,109,3,3,3,3,3,3
15,109,1,1,1,1,1,1
8,110,3,3,3,3,2,5
10,110,2,3,3,3,4,5
11,110,3,3,4,4,4,4
15,110,3,4,3,3,2,3
8,111,3,2,2,2,2,4
10,111,4,4,4,4,4,5
11,111,3,3,3,3,3,4
15,111,4,4,3,5,3,4
8,112,5,4,5,4,5,5
10,112,3,4,5,4,3,5
11,112,3,3,4,3,4,4
15,112,4,2,3,3,3,3
8,113,4,2,1,1,1,5
10,113,3,3,3,4,3,4
11,113,5,4,4,4,3,4
15,113,4,4,4,4,3,4
8,114,1,1,1,2,1,1
10,114,3,4,5,4,4,5
11,114,3,3,4,3,3,2
15,114,4,5,4,4,4,5
8,115,5,4,4,4,4,5
10,115,3,3,2,3,2,4
11,115,2,2,2,2,2,4
15,115,4,5,4,5,5,5
8,116,5,5,5,5,4,5
10,116,4,4,3,4,4,5
11,116,3,4,4,4,4,4
15,116,5,5,4,5,5,5
8,117,1,1,2,1,1,1
10,117,3,4,5,4,4,5
11,117,3,2,2,2,3,2
15,117,4,4,4,4,3,4
8,118,2,2,1,1,1,1
10,118,4,4,4,4,4,4
11,118,2,3,2,3,4,2
15,118,5,5,5,5,5,5
8,119,1,1,1,1,1,1
10,119,3,3,2,3,3,3
11,119,3,3,2,3,3,2
15,119,4,4,3,4,3,4
8,120,1,1,1,1,1,1
10,120,4,5,4,5,2,4
11,120,2,2,2,2,3,2
15,120,2,1,1,1,2,2
8,121,1,1,2,2,1,1
10,121,4,4,4,4,3,4
11,121,2,2,2,2,3,2
15,121,2,3,3,3,2,3
8,122,5,5,5,5,4,5
10,122,4,3,4,4,2,4
11,122,2,2,3,2,2,4
15,122,1,2,3,3,2,5
8,123,2,2,3,2,1,2
10,123,4,5,5,5,5,5
11,123,3,3,3,3,3,2
15,123,3,3,3,3,2,3
8,124,1,2,2,1,1,1
10,124,5,5,4,4,4,4
11,124,2,3,3,3,3,2
15,124,3,4,4,4,3,4
8,125,5,5,5,5,5,5
10,125,5,5,5,5,5,5
11,125,3,3,3,3,3,4
15,125,4,4,4,4,4,5
8,126,5,4,4,3,4,5
10,126,4,3,4,3,4,3
11,126,2,2,2,2,2,4
15,126,3,3,3,4,3,4
8,127,3,3,2,2,1,5
10,127,2,4,4,4,2,3
11,127,2,2,2,2,2,4
15,127,2,2,3,2,2,4
8,128,3,2,2,2,3,5
10,128,5,5,5,4,5,5
11,128,3,3,2,3,3,3
15,128,3,3,3,3,3,5
8,129,5,5,5,5,5,5
10,129,3,2,3,2,2,3
11,129,2,2,2,2,1,4
15,129,2,3,3,3,3,5
8,130,1,1,1,1,1,1
10,130,3,4,3,3,3,3
11,130,2,2,2,2,3,2
15,130,3,2,2,2,2,2
8,131,1,1,2,1,2,1
10,131,3,3,2,2,2,3
11,131,2,2,2,2,4,2
15,131,3,2,1,2,2,3
8,132,3,1,2,2,2,4
10,132,4,5,3,4,4,4
11,132,3,3,3,5,3,4
15,132,3,3,2,2,3,4
8,133,2,2,2,2,1,1
10,133,4,4,3,4,4,4
11,133,3,3,2,3,3,2
15,133,3,3,2,3,2,2
8,134,3,2,4,3,2,5
10,134,4,4,3,4,3,3
11,134,2,2,3,3,3,4
15,134,3,3,2,4,3,4
8,135,2,1,2,1,1,4
10,135,2,3,2,2,2,2
11,135,3,3,3,3,2,4
15,135,3,3,2,2,3,4
8,136,2,1,2,2,3,5
10,136,4,4,3,3,4,4
11,136,2,2,3,3,2,3
15,136,3,4,5,4,4,5
8,137,2,1,1,1,1,1
10,137,4,5,4,4,4,4
11,137,2,2,2,3,3,2
15,137,3,2,2,2,2,3
8,138,1,2,3,2,2,3
10,138,4,3,3,4,3,4
11,138,2,2,2,2,3,2
15,138,4,4,5,4,4,4
8,139,1,1,1,1,1,1
10,139,4,4,4,4,3,4
11,139,3,3,2,3,2,2
15,139,3,3,2,3,3,2
8,140,3,2,2,2,1,5
10,140,4,4,4,4,3,4
11,140,3,2,2,3,2,4
15,140,4,4,3,3,3,4
8,141,3,2,3,3,2,5
10,141,4,4,3,3,4,4
11,141,2,2,3,3,2,4
15,141,3,4,3,4,3,4
8,142,3,1,2,1,3,5
10,142,3,2,3,3,2,3
11,142,2,2,2,2,2,4
15,142,2,2,2,2,3,4
8,143,1,1,1,1,3,2
10,143,4,3,4,4,4,4
11,143,2,2,3,3,2,2
15,143,2,3,2,2,2,2
8,144,4,3,3,3,3,5
10,144,4,5,4,5,4,4
11,144,2,2,3,3,2,4
15,144,3,3,2,3,3,4
8,145,5,4,5,4,4,5
10,145,4,5,4,5,4,5
11,145,2,3,3,3,1,4
15,145,3,3,4,3,3,5
8,146,1,1,1,1,1,1
10,146,3,3,3,3,2,2
11,146,3,3,2,3,2,2
15,146,2,2,1,2,2,2
8,147,2,1,1,1,1,4
10,147,2,1,2,2,1,1
11,147,2,2,2,2,2,2
15,147,4,4,3,3,3,4
8,148,5,4,5,4,4,5
10,148,4,5,4,4,4,4
11,148,3,3,3,3,2,4
15,148,4,4,5,5,4,5
8,149,2,2,2,2,1,1
10,149,4,4,3,4,3,4
11,149,2,2,2,3,3,2
15,149,3,2,1,2,2,2
8,150,5,5,4,5,3,5
10,150,4,4,3,4,3,4
11,150,3,3,3,4,2,4
15,150,4,5,5,5,4,5
8,151,2,1,3,2,1,5
10,151,3,4,3,3,3,3
11,151,2,3,3,3,3,4
15,151,3,4,3,4,4,5
8,152,5,5,5,4,4,5
10,152,3,2,2,1,1,1
11,152,2,2,4,4,3,4
15,152,2,2,3,3,3,5
8,153,3,2,2,2,3,5
10,153,2,1,2,1,2,1
11,153,2,2,2,2,2,4
15,153,3,2,1,2,3,5
8,154,4,2,2,1,1,5
10,154,3,3,3,3,3,3
11,154,3,2,3,3,2,4
15,154,4,3,4,4,4,4
8,155,5,4,4,4,5,5
10,155,2,1,1,2,2,1
11,155,2,2,2,2,2,4
15,155,2,3,2,3,3,4
8,156,2,1,1,1,1,1
10,156,3,4,3,3,3,3
11,156,2,2,2,2,3,2
15,156,3,3,1,1,1,2
8,157,4,3,3,3,4,5
10,157,2,2,1,1,2,1
11,157,2,2,3,3,2,4
15,157,2,2,2,2,3,4
8,158,2,1,2,1,1,1
10,158,3,4,3,3,3,3
11,158,2,2,2,2,3,2
15,158,2,2,1,2,2,2
8,159,3,1,3,1,1,1
10,159,3,4,3,3,4,4
11,159,2,2,2,2,3,2
15,159,2,2,2,2,1,2
8,160,3,3,3,3,2,1
10,160,3,2,1,2,2,3
11,160,3,3,2,3,3,2
15,160,2,2,2,2,2,1
8,161,5,4,4,3,4,5
10,161,4,4,4,4,4,5
11,161,3,3,3,4,2,4
15,161,2,2,2,2,2,2
8,162,3,2,3,2,2,5
10,162,2,3,3,4,3,5
11,162,2,3,4,4,2,4
15,162,3,4,3,5,3,4
8,163,2,1,2,1,2,1
10,163,3,4,2,3,3,3
11,163,2,2,2,2,3,2
15,163,3,4,3,4,3,3
8,164,1,1,1,1,1,1
10,164,2,1,1,2,1,2
11,164,2,2,2,2,3,2
15,164,3,4,3,3,3,3
8,165,1,1,1,1,1,1
10,165,1,1,1,1,1,1
11,165,2,3,2,3,3,2
15,165,3,3,3,3,3,2
8,166,1,1,3,1,3,1
10,166,2,3,2,3,3,3
11,166,2,3,3,3,3,2
15,166,3,3,3,4,3,4
8,167,2,1,2,1,1,4
10,167,2,2,2,2,2,4
11,167,2,2,3,2,2,2
15,167,2,3,3,2,3,2
8,168,5,4,5,4,4,5
10,168,3,3,3,2,3,4
11,168,2,2,2,2,1,4
15,168,2,2,2,2,1,2
8,169,1,1,1,1,1,1
10,169,4,3,3,4,4,3
11,169,2,2,2,2,2,2
15,169,4,5,4,4,3,4
8,170,1,1,1,1,1,1
10,170,2,1,1,1,1,1
11,170,2,2,2,2,3,2
15,170,3,4,3,4,2,3
8,171,4,4,5,4,4,5
10,171,3,3,2,3,3,4
11,171,3,2,4,4,2,4
15,171,4,3,3,2,2,3
8,172,2,1,2,1,1,1
10,172,1,2,1,2,2,2
11,172,2,2,2,2,3,2
15,172,3,3,2,3,2,3
8,173,1,1,1,1,1,1
10,173,2,1,1,1,1,3
11,173,2,2,2,2,3,2
15,173,4,5,4,4,4,4
8,174,5,5,5,3,5,5
10,174,4,4,4,4,4,5
11,174,2,3,3,3,3,4
15,174,2,1,2,2,1,1
8,175,5,4,5,4,5,5
10,175,4,3,3,4,4,5
11,175,2,2,3,3,2,4
15,175,3,4,3,4,3,4
8,176,5,5,5,5,4,5
10,176,4,4,3,4,4,5
11,176,3,3,3,3,2,4
15,176,2,3,3,3,3,2
8,177,4,3,3,3,3,5
10,177,4,4,4,4,4,5
11,177,2,3,3,4,2,4
15,177,2,3,2,3,2,2
8,178,4,3,3,3,4,5
10,178,3,4,4,4,4,5
11,178,3,3,4,3,2,4
15,178,4,5,4,4,4,4
8,179,2,1,1,1,1,2
10,179,3,4,3,4,3,4
11,179,3,3,3,3,2,4
15,179,2,3,2,2,2,2
8,180,1,1,1,1,1,1
10,180,3,2,1,2,2,2
11,180,2,2,2,2,2,2
15,180,4,4,3,4,3,4
8,181,5,5,5,5,5,5
10,181,4,4,3,4,4,4
11,181,3,2,4,3,2,4
15,181,3,3,4,3,2,3
8,182,1,1,1,1,1,1
10,182,3,2,1,2,2,2
11,182,2,2,2,2,2,2
15,182,3,4,3,4,3,3
8,183,1,1,1,1,1,1
10,183,2,2,1,1,2,2
11,183,2,2,2,2,3,2
15,183,2,3,3,3,2,3
8,184,1,1,1,1,1,1
10,184,1,1,1,1,1,2
11,184,2,2,2,2,2,2
15,184,3,4,3,4,3,4
8,185,1,1,1,1,1,1
10,185,1,2,2,2,2,2
11,185,2,2,3,2,2,2
15,185,2,2,2,2,2,2
8,186,5,4,4,4,4,5
10,186,2,3,3,3,3,4
11,186,2,2,4,3,2,4
15,186,3,2,2,2,2,2
8,187,5,4,4,4,3,5
10,187,3,3,3,4,3,4
11,187,2,2,3,2,2,4
15,187,3,2,2,1,1,2
8,188,5,4,4,3,3,5
10,188,3,3,2,3,3,4
11,188,3,3,4,4,2,4
15,188,3,4,2,2,3,3
8,189,5,4,4,4,4,5
10,189,3,3,2,4,3,4
11,189,3,3,4,4,2,4
15,189,4,4,3,4,3,4
8,190,3,3,3,3,3,3
10,190,3,4,2,4,3,4
11,190,3,3,3,3,2,4
15,190,3,4,3,4,3,4
8,191,1,1,1,1,1,1
10,191,2,1,1,1,1,1
11,191,2,2,2,2,2,2
15,191,3,4,3,4,2,3
