isCreative,isDeep,isNuanced,isHumorous,isInformal,isUngrammatical,hasAgressiveness,hasAdvancedVocab,hasAdvancedLirararyTechniques,hasUniqueTwists,isRepetitive,isSimplistic,isRobotic,isFormulaic,hasLowPromptAdherence,input_text,profile,timestamp,participant_id,story_id,human_likeness_score,model_short,author_type,llm_annotator
False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,The repetition of the exact words used in the prompt make me inclined to think this was written by an LLM.,,2024-01-31 21:09:41,6,3,2,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,The format of the short story is very atypical. The story overall is also very basic in its sentence structure.,,2024-01-31 21:10:33,7,3,1,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"The story exhibits creative and imaginative elements, suggesting a human author.",,2024-01-31 21:11:05,3,4,3,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,"I have seen TV shows where this sort of writing was implemented, so purely based on that, I could believe if this was written by a real person, but I'm going to guess that this was written by an LLM. But I know human writers are capable of so so so much more.",,2024-01-31 21:11:43,6,4,2,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,"Likely AI. There are elements that indicate human writing like the questions asked, but the writing overall is very basic and lacks style.",,2024-01-31 21:13:00,7,4,2,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The story exhibits a high level of creativity, emotional depth, and nuanced exploration of philosophical concepts, suggesting it was likely written by a human.",,2024-01-31 21:13:15,3,5,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,"The advanced vocabulary and use of literary techniques such as alliteration, anaphora, metaphors not only make the story more interesting but show a level of complexity that I feel makes the story more likely to be written by a human.",,2024-01-31 21:13:34,4,5,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The explanation of how feeling unfulfillment and longing is what haunts you throughout your experience in Hell feels like something only a human would understand--these are probably among the most detested and feared human emotions and experiences, and I think only a human would know that this is a good thing to write about.",,2024-01-31 21:14:26,6,5,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,The first paragraph indicated to me that this was written by a human as it was complex and very descriptive. I don't think that these kinds of descriptions could be generated by AI.,,2024-01-31 21:15:06,7,5,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The story is likely written by a human. It demonstrates a level of creativity, emotional depth, and narrative complexity.",,2024-01-31 21:15:24,3,6,4,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The stuff about Commander Rythor and the aliens feels so much more real, while the content about the humans feels far more uninteresting to me. I'm stumped on whether or not this is human authored.",,2024-01-31 21:16:21,6,6,3,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The name John Smith is incredibly basic, and so is the writing style overall. There is not much description of the scene, it is mostly just plot. The commander of the aliens is also introduced with little to no warning.",,2024-01-31 21:18:44,7,6,1,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,I'm convinced this is LLM authorship due to the simplicity of the story and grammatical errors throughout the entirety of it with the addition of no direction or conclusion to this story.,,2024-01-31 21:20:44,3,7,2,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"There's so little content here that I can't really make a definitive judgement one way or the other, but I'm leaning towards LLM authorship solely because of the technological smart hive references.",,2024-01-31 21:21:11,6,7,2,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"It's all grammatically correct, but there is no description or real scene set in this piece.",,2024-01-31 21:22:15,7,7,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The story exhibits a level of creativity, emotional depth, and nuanced character portrayal that suggests a higher likelihood of being written by a human.",,2024-01-31 21:22:30,3,8,4,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"Something about how the words are strung together feels human to me, and the way the prose creates space between the dialogue also feels quite human to me, but maybe AI storytelling is just way better than I thought possible. Essentially, I think the pacing is what feels human to me.",,2024-01-31 21:22:44,6,8,4,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,I think that this was written by a human because emotions are accurately portrayed. It's also a pretty in-depth scene.,,2024-01-31 21:22:59,7,8,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The story appears to be written by a human. It includes emotional elements, character development, and a narrative structure that aligns with standard storytelling styles.",,2024-01-31 21:24:54,3,9,4,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,The writing does not answer from the parent's point of view like the prompt asked. The writing style is also very basic and the story is mostly background and not fleshed out.,,2024-01-31 21:25:49,7,9,1,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,The comedial and informal structure of this story makes it almost certain this was written by a human.,,2024-01-31 21:26:05,3,10,5,Human-Low,Human,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,"I think it was probably written by a human because of the use of Gen Z lingo and there was a typo where the word ""at"" was repeated twice.",,2024-01-31 21:26:24,4,10,4,Human-Low,Human,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"I've read a lot of stories from people on r/writingprompts, and there's a certain genre of stories that falls into this kind of category; it's marked by aggressive language, a flash fiction kind of length, and usually opens with a sentence that essentially communicates ""Stop f***ing around.""",,2024-01-31 21:28:17,6,10,5,Human-Low,Human,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"I think the cursing is characteristic of humans, so I think a human would write this.",,2024-01-31 21:28:32,7,10,4,Human-Low,Human,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,The presence of emotional nuances and the nuanced exploration of cosmic consequences leans slightly toward human-like narrative construction.,,2024-01-31 21:28:57,3,11,3,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"Repeated use of rhetorical questions--this is something that is often used in example short stories that are included in online writing resources, but I find that experienced human writers rarely actually utilize them. And, if they do, it's never as much as seen in this story.",,2024-01-31 21:29:54,6,11,1,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,There are repetitive elements in the story such as many questions in a row asked. There's also not much action going on.,,2024-01-31 21:30:50,7,11,1,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,The story exhibits a level of emotional intelligence and nuanced exploration of relationships that aligns with human-authored narratives.,,2024-01-31 21:31:16,3,12,4,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,"Lack of psychological/emotion depth, and the rhetorical questions.",,2024-01-31 21:33:49,6,12,1,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,"From the very beginning, when the story was told from a third-person perspective, I thought that it might have been written by AI. It does not answer the prompt and put the reader in a first person perspective.",,2024-01-31 21:36:26,7,12,1,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,The story demonstrates a level of creativity and emotional intelligence that aligns with human-authored narratives.,,2024-01-31 21:37:30,3,13,4,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,"With the conclusion, I don't think a person would try to create or form a message out of a short story for the reader to ""learn from.""",,2024-01-31 21:40:13,7,13,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,The story demonstrates a nuanced understanding of human emotions and experiences in the face of the unknown.,,2024-01-31 21:40:42,3,14,4,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,"Unnecessary repetition, weird and unnatural reflection on the resilience of humanity. I don't think a human writer would do this, especially not one that has such a strong command of language that creates such rich, ornate details and descriptions as is seen in this story.",,2024-01-31 21:41:51,6,14,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,The cliche descriptions at the beginning of the piece indicated to me that this was AI writing.,,2024-01-31 21:42:16,7,14,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,The story exhibits a level of creativity and emotional depth that aligns with human-authored narratives.,,2024-01-31 21:42:55,3,15,4,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,"Once upon a time, it immediately indicated to me that this was written by AI. Again, it is also very obvious about the message of the story in the conclusion of the piece.",,2024-01-31 21:49:03,7,15,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,The story exhibits a level of creativity and nuanced exploration of political themes that aligns with human-authored narratives.,,2024-01-31 21:49:18,3,16,4,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,The topics covered feel very much like something an LLM would write about.,,2024-01-31 21:52:59,6,16,1,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,"Once I saw the name Jameson Smith, I had a feeling this was AI written. There seems to be a pattern with texts that I believe to be AI and the introduction of a character by their first and last name. I also think the mention of AI in this story is quite unusual, and I don't know if a person's first thought would be to go for that idea.",,2024-01-31 21:53:19,7,16,1,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,The story demonstrates a level of emotional nuance and exploration of complex themes that aligns with human-authored narratives.,,2024-01-31 21:54:11,3,17,3,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,The story demonstrates a level of emotional depth and creativity in portraying the lives of bees with a human-like connection. The anthropomorphism and the nuanced interactions make it more likely to be human-generated.,,2024-01-31 22:00:57,3,18,5,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"I think the differences in speech (such as ""ye"") indicate that a human most likely wrote this. But, it does have the AI characteristic of a blatant lesson at the end of the story of the generations learning to work together.",,2024-01-31 22:01:24,7,18,4,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"The story demonstrates creativity, emotional depth, and nuanced exploration of human relationships, suggesting a human touch.",,2024-01-31 22:02:47,3,19,4,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"The introductory paragraph feels very robotic, but the rest of the story feels somewhat more human... sort of.",,2024-01-31 22:03:37,6,19,2,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,"There is an error in punctuation in the second to last paragraph, and I find that indicative of human writing. There's also a different flow to this text, one that uses longer sentences and more descriptive words.",,2024-01-31 22:04:14,7,19,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,The story demonstrates a level of emotional depth and creativity in exploring the vampire's relationship with video games.,,2024-01-31 22:05:59,4,20,4,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,"The writing style is very consistent throughout--too consistent almost. Marcus is also not a name that strikes fear, so I wouldn't use it for a Vampire.",,2024-01-31 22:06:29,7,20,1,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,"While it exhibits qualities associated with human writing, there are some issues associated with the conclusion mainly due to the way it cuts short without any punctuation.",,2024-01-31 22:07:01,4,21,2,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,The names are very basic. The story is not fleshed out. There's little to no writing style.,,2024-01-31 22:07:16,7,21,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the story's authentic portrayal of political disillusionment, its ability to evoke empathy through well-developed characters, and the engaging narrative that provokes emotion, I would rate the likelihood of human authorship.",,2024-01-31 22:07:55,4,22,4,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,"The story has kind of a robotic feel to it, but some parts are different like the grammatical mistake with the dash towards the beginning of the paper (it has a space). Also, characters are introduced by their first and last name again.",,2024-01-31 22:09:17,7,22,3,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,"Random, unnecessary names; redundant descriptions for emotion; exact same wording as used in prompt.",,2024-01-31 22:09:48,3,23,1,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the somewhat conventional narrative elements and the room for deeper exploration of emotions and complexity, I would rate the likelihood of human authorship for this story as a 3.",,2024-01-31 22:10:35,4,23,3,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Twins. . . and the sister was two years older? Question markssss lmao,,2024-01-31 22:16:43,2,24,1,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of human emotions, the well-crafted plot twists, and the depth of the characters' experiences, I would rate the likelihood of human authorship for this story as a 2.",,2024-01-31 22:17:23,4,24,4,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,"The first sentence basically repeats what the prompt is asking. There's also the same ""lesson to be learned"" at the end of the piece.",,2024-01-31 22:18:02,7,24,1,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,"Considering the nuanced exploration of human emotions, the complexity of the supernatural encounter, and the seamless integration of psychological elements, I would rate the likelihood of human authorship for this story as a 1.",,2024-01-31 22:18:14,4,25,5,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,"I think that this is likely written by AI. The phrases ""on one hand"" and ""on the other hand"" indicate that there is an algorithm maybe being used to create conflict.",,2024-01-31 22:18:44,7,25,2,Llama-2-70B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of human emotions, the gradual unfolding of a familial mystery, and the effective blend of grief and suspicion, I would rate the likelihood of human authorship for this story as a 2.",,2024-01-31 22:19:06,4,26,4,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,I immediately felt this was AI-generated when I read the last few sentences. It does not answer the prompt as this is supposed to be from the spouse's point of view.,,2024-01-31 22:19:27,7,26,5,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of family dynamics, the emotional depth, and the well-crafted resolution, I would rate the likelihood of human authorship for this story as a 1.",,2024-01-31 22:19:41,4,27,5,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,"Again, this is from the point of view of the daughter, not the father, so it doesn't answer the prompt. Also, the age of the daughter is repeated twice.",,2024-01-31 22:20:04,7,27,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of human emotions, the philosophical reflections, and the well-crafted resolution, I would rate the likelihood of human authorship for this story as a 1.",,2024-01-31 22:20:18,4,28,5,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,A part of me thinks it is written by a human by I am skeptical of the fact that there are no names offered and the use of â€œmy partnerâ€ makes the legitimacy of the relationship and â€œbetrayalâ€ seem fake.,,2024-01-31 22:20:47,6,28,3,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,"There's a ""lesson to be learned"" aspect at the end of this piece. The conflict is also resolved too easily.",,2024-01-31 22:21:16,7,28,1,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of human emotions, the diverse voices in the voicemail messages, and the well-crafted narrative complexity, I would rate the likelihood of human authorship for this story as a 2.",,2024-01-31 22:21:35,4,29,4,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,"This is not exactly a short story, more like a summary that you would read inside the cover of a book.",,2024-01-31 22:22:28,7,29,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,"Considering the exploration of human and robot experiences, the authentic portrayal of emotions, and the well-crafted narrative complexity, I would rate the likelihood of human authorship for this story as a 2.",,2024-01-31 22:22:43,4,30,4,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,"The ""Once upon a time"" indicated to me that this story was written by AI. There isn't much action to the story, mostly background and only the description of action like the rebellion. There's also the ""lesson to be learned"" element.",,2024-01-31 22:24:54,7,30,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of unexpected paradises, the emotional depth of the protagonist's journey, and the well-executed narrative complexity, I would rate the likelihood of human authorship for this story as a 1.",,2024-01-31 22:25:33,4,31,5,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,I think the descriptions at the beginning of the piece indicate this to be human writing.,,2024-01-31 22:25:48,7,31,4,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of depression, the authentic emotional depth, and the well-executed narrative complexity, I would rate the likelihood of human authorship for this story as a 1.",,2024-01-31 22:26:24,4,32,5,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"There's the ""lesson to be learned"" element I've found in AI writing. I also think a human would go with a more darkened storyline rather than just summing it up with a positive ending.",,2024-01-31 22:27:33,7,32,1,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of emotional depth, the authentic portrayal of the internal struggles faced by the characters, and the effective storytelling that engages the reader, I would rate the likelihood of human authorship for this story as a 1.",,2024-01-31 22:27:48,4,33,5,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"I think the first part is very human-like. The descriptions are good. But, again, there's that ""lesson to be learned"" element. Also, the characters are very tropey from what you would expect in this prompt.",,2024-01-31 22:28:23,7,33,3,GPT-4,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of human emotions and the relatable portrayal of a personal struggle, I would rate the likelihood of human authorship for this story as a 1.",,2024-01-31 22:28:40,4,34,5,Llama-2-7B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"Considering the nuanced exploration of human emotions, the authentic portrayal of isolation and connection, and the effective elicitation of empathy, I would rate the likelihood of human authorship for this story as a 2.",,2024-01-31 22:32:34,4,35,4,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"The emotions portrayed are very basic. It also uses quotes directly from the prompt, but there's also no alteration to them or style.",,2024-01-31 22:36:21,7,35,2,Vicuna-33B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,"The emotional depth and character portrayal suggest human creativity, but the structured and formulaic nature of the plot points toward the possibility of it being generated by a language model.",,2024-01-31 22:36:49,4,36,3,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"There's not much stylistic variance in the writing. But, I think there's a human-element to the way this is portrayed overall.",,2024-01-31 22:37:41,7,36,3,Llama-2-13B,LLM,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
