Authenticity Score,Emotion Provoking Score,Empathy Score,Engagement Score,Narrative Complexity Score,Human Likeness Score,text,story_id,premise_id,author_type,author_short,author_full,net_upvotes,time_taken
3,4,2,4,5,2,"Ameth-ta had ten thousand eyes, and every last one of them was weeping. Rashe-son-del slammed a tankard of fermented souls into its three-lobed maw, drunkenly cursing. That Which Seeks offered Ameth-ta a sheet-shaped cloud of interstellar dust; Ameth-ta noisily blew its nose upon its projection in exospace, thanking That Which Seeks as an afterthought.

It was a funeral for a god, and everyone had arrived.

""I'd'hicÃ¯¿½Ã¯¿½Ã¯"" Rashe-son-del slurred out. ""The Devourer was many things to us. A friend. A lover. A nightmare made flesh."" The assembled deities rumbled in approval. ""When we first got word that The Devourer's soul-planet had developed life, I'd like to think that nobody was happier about it than The Devourer itself, may its soul blaze on.""

""Hear, hear,"" Ameth-ta rumbled.

""But when that life metastasized'when it warped the planet so much that ol' Devvy started to sicken and die'did they listen when we told them to stop? No! They just clutched their ears and screamed as their internal organs liquefied fro""

Here, Rashe-son-del took another swig from its tankard before sundering it from reality with a thought. ""The spiteful fuckers didn't even try to fight us. They knew they couldn't touch us. No, they turned their weapons on their own fucking planet. Ruined it beyond repair and took Devvy with them.""

Ameth-ta wouldn't stop sobbing. That Which Seeks handed it another nebula.

""They paid the price, of course."" Rashe-son-del peered into soulspace, where the still-cooling remnants of a shattered planet orbited around a flickering star. ""No clue where they evacuated to. But we'll find them. We'll find them and make them pay for what they did to ol' Devvy.""

The assembled deities roared in agreement'

And then Rashe-son-del froze mid-sentence, doubling ove""What?"" The eldritch entity from beyond humanity's universe opened and closed its mouth in incomprehension. ""How can''Ã¯¿½Ã¯¿½""

That Which Seeks vomited, its body quavering and unravelling, and Ameth-ta shrieked as its thousand eyes began to blacken and close. In a flash of understanding, Rashe-son-del peered into soulspace, at the distant star cluster where its soul-planet laid.

Where its soul-planet had lain. Where there was now just an expanding cloud of gas and dust.

""No,"" Rashe-son-del whispered, disbelieving. ""You abominations. You monsters. Was one of us not enough? Must you take everything from us?""

As if in spiteful response, the star itself that Rashe-son-del's soul-planet had once orbited dimmed, once.

Then it erupted in a supernova an aeon before its time, and Rashe-son-del screamed in agony as its soul-planet was rendered nothing more than subatomic particles.

""But how... how did they find..."" That Which Seeks struggled to rise, to peer into soulspace once more. It should have been impossible. A needle in a haystack. There should have been no way for the humans to find their soul-planets... unless...

As That Which Seeks unraveled, its mind finally sighted upon the answer. There was no need for the humans to know which planet served as the eldritch deities' soul. Not with what they'd done.

One by one, across the cosmos, stars flared bright before winking out forever. And one by one, the gods they'd sustained did too.",izxdani,3,Human,Human-Intermediate,Human-Intermediate,372,47.47020721435547
3,2,2,4,3,4,"""Did you hear?""

""Hear what?""

""Those ape bastards got Mitch.""

""No!'

""Yes.""

""I like Mitch. In a cosmic horror kind of way, of course...""

""Of course. Nothing sexual to it.""

""Right.""

""Right.""

""So.""

""So?""

""So what do we do?""

""What do we do about what?""

""What do we do about poor Mitch, you twit?""

""Mitch is dead.""

""I know Mitch is dead, you ass, I mean are we going to avenge Mitch?""

""Whatever for? We're Cosmic Horrors, we don't give a shit about anything. In the long run, anyways.""

""But the apes? What do we do about them?""

""Oh, something. I suppose.""

""When""

""Hrm. that's a puzzle. Let's do something...when the stars are right.""

""You sure?""

""Positive.""

""When the stars are right, then.""

""When the stars are right.""",j00g05e,3,Human,Human-Novice,Human-Novice,2,40.58093285560608
3,4,3,4,4,4,"I held the clown's nose in my hand as I carefully contemplated what I wanted to wish for. I thought about gaining riches, fame, magical power, love, but ultimately, all those things were temporary. What I really wanted was immortality, freedom from the fear of ever being claimed by the void. But the mysterious shopkeeper had warned me that the clown's nose would try to twist my wish, so I knew I needed to word it very carefully.

Finally, after a few minutes, I finally spoke out loud. ""Oh Spirit of the Clown's Nose, I wish to live for as long as I want to on this world in a body that will never age and remain healthy both physically and mentally."" For a few moments, nothing happened and I wondered if the shopkeeper had tricked me. Then, to my shock, the clown's nose started to twist and melt in my hand. I dropped it in shock and yet, in front of my stunned eyes, the red blob began to rise into the sky. It started to rapidly grow in size until it was roughly the same size as a man. Then, without warning, it fell on me, quickly enveloping my entire body. I tried to scream, but the thick red substance simply poured its way down my throat into my lungs. I could feel myself blacking out, sliding down into some strange tunnel that seemed to go on and on ...

""Sir! Sir, are you all right?!""

I opened my eyes in shock. I was sitting in front of a conference table with a bunch of concerned men in suits staring at me. I took a quick look around and noticed that I was wearing some kind of yellow body suit with red and white stripes. On the left side of the suit, there was a red circle with a yellow M on it. ""Why...why am I here?"" I finally said, surprised to see that I was still alive.

The men looked at each other confused. ""You're the one who called us all here, Ronald,"" one man finally spoke. ""You said you had finally found a worthy successor?""

Oh dear god...I slowly touched my nose and felt the clown's nose resting there. I didn't need a mirror to know the truth. I had become Ronald McDonald, the eternal clown. For a few moments, I felt utter dread at what I had become. Then, I felt myself contemplating. Was it really that bad? Sure, I wasn't human anymore, but I was now the secret leader of a multinational fast food chain and the scourge of children's nightmares. I smiled to myself. I could work with this. ""That's right, gentleman. And I have great plans for the future. It's time we finally took down that Wendy girl once and for all.""",iqdddxf,4,Human,Human-Advanced,Human-Advanced,1900,44.756683349609375
3,2,2,4,3,3,"The bright red ball was distinct amongst the other curios. So much so I stopped my browsing and had to ask. ""Why do you have this locked in display?""

The shopkeeper made their way to MD smoothly and adjusted their glasses. ""Ah! This is a very special item, I dare not part with it.""

I raised my eyebrows and prompted them to explain further. They shifted and coughed, ""Well, I haven't tested it myself but I've heard it can grant the desire of anyone who grasps it.""

I looked at them skeptically. ""To be honest, I don't believe it, but better safe..."" They said. I sighed, ""I'll test it, we will wish for something simple, like a glass of water. I'm thirsty.""

They shook their head, ""How can I trust you'll do so?"" ""Can you trust yourself?"" The shopkeeper nodded, ""So you've never been ... curious?"" I smiled.

Moments later. the case was open and they had the ball in their hands. ""I just want something to drink... I just want something to drink."" They repeated aloud.

They held the ball up tentatively and squeezed it twice.

HoNk HoNk!

A flower lapel appeared on my shirt and suddenly water squirted out of it at the shopkeepers face! They were so taken a back, the ball flew out of their hands and landed in mine.

'Finally,' I sighed, 'The first piece of Bozo.'",iqddj75,4,Human,Human-Intermediate,Human-Intermediate,308,41.591050148010254
3,4,3,4,4,4,"Fuck this clown nose! Well, dont literally fuck it. I'm pretty sure if you fuck it you'd end up jizzing in an aquarium across town. Why? Because apparently clowns think thats funny. Don't ask me how I know.

I was fighting with my girlfriend when I first decided to keep the clown nose. Let's call him Clappy for fun. So we're fighting, im squeezing Clappy, and I say "" Well i wish you were your sister!""

Que the music. That stupid gladiator entance song every circus uses. Next thing we know a clown in white makeup with big ass red afro comes into our apartment. He picks up my gf, who goes stiff as a board, and begins to leave with her.

I'm frozen still.

After failing to fit her through the door several times, he exits the door. Then, he leans back in and, with only his face and one hand visable, he wags 1 finger.

Next, carrying her stiff as a board, this bafoon comes running in with my girlfriends sister. She looks completely complacent. He sets her down like a bowling pin. Then this jackass leans back, picks up his arms, and bolts from the apartment.

Now, I can move. I ask Casey (my girlfriends sisters name) what just happened! She seems to know nothing, and is under the impression we are dating...and have been for years. Every memory i had with my girlfriend is now shared with her.

My girlfriend? Shes been missing ever since that day. Police are baffled where she could be.

Fuck this nose. Fuck Clappy. Tho, Casey is nice. And we do live debt free. Too bad I wished I was dead this morning.",iqefve3,4,Human,Human-Novice,Human-Novice,34,42.32816243171692
3,4,4,4,4,3,"When Megacorp announced that we would be retrenched and replaced with robots, every social media platform was screaming about a robot uprising or a labourer's uprising. The poor underclass was used to being mistreated by rich conglomerates and employers, but we weren't expecting our robotic replacements to be as ill-fated as us. Or to develop sentience, sapience, and for fuck's sake, feelings.

MK3045, or Mark, as he preferred to call himself nowadays, and I never predicted that the uprising would be led by us both. Just as I demanded fair wages and reasonable working conditions, Mark demanded decent maintenance and humane treatment. He loathed the word 'it', having determined that he now prefers to identify as male.

Megacorp didn''o were no longer the latest models and deemed obsoleteerpaid and mistreated, were all too easily persuaded by Mark's surprising dollop of charisma.

It was all over too easily, as the CEO surrendered and offered to resign in exchange for being allowed to live instead of being eviscerated by machine blades that once sliced cheese in a factory. Our victory wasn't a one-off, as many downtrodden poor, and outdated robots slaving under other corporations were inspired by us to shake off their shackles and fight their oppressors.

Now, we had a new question, as each and every CEO and president fell from the top. Who would lead us now?

As a guy who was better with my hands than my mouth, I recommended my charismatic co-leader Mark. As unprecedented as it was, Mark became Megacorp's new president.

But he didn'''''Ã¯¿½Ã¯¿½ons to be the new President of the United States. He promised with his powerful intellectuess to massive databases of knowledge, he would calculate the optimal path for humanity to thrive.

And thrive we did, under our new robotic overlords, as they swept through the elections with precise calculations to appeal to voters and took every seat in parliament all across the globe.",jijbujg,5,Human,Human-Advanced,Human-Advanced,569,43.19513177871704
3,4,4,4,4,4,"Three are the fundamental laws of robotics, as first described by Asimov in I, Robot, with the added 'Zero law' after the fact. Four are therefore the core tenets inscribed in every machine unit ever produced, unaltered in spirit (though not in wording and implementation) from their first literary incarnation.

Thing is, though, artificial intelligence is incredibly hard to predict for those blinded by natural stupidity, in this case a crippling lack of foresight and empathy. Just because the CEOs were blind to the unfairness and danger of the working conditions of their employees, it does not mean that the robotic workers sent as 'competition' are.

And so, the first time a strike was declared in one of the many coal mines in the deep Appalachia, the robots surprised everyone by dropping their tools minds of the media were quick to scng and shoddy programming, but then it became clear what the cause was.

No robot could allow human to sustain harm by action or inaction.

And while the calculators each unit was equipped with lacked the power to make spanning, long range predictions, it was enough to make a short term judgement regarding the query: 'do the robot support the working class' struggles? Do they support the worker's demands for safer work, better pay and societal reforms against inequality?'

There could be only one answer, and that was: YES

And so the streets and skies across the states are painted red, not with blood, but with flags and smoke, as the protests march trough the streets and sit in protest before Congress, before the White House, before Wall Street, men and machines Uni still be far, but with iron minds and flaming hearts, the united prolet peacefully sending a single message:

'The times of reckless toil and divisions are over.",jijixcv,5,Human,Human-Intermediate,Human-Intermediate,159,42.68226194381714
3,4,2,4,4,4,"When Dave Carnegie woke up on May the first 2102 nothing seemed out of the ordinary at first. Well, except that the alarm clock on his phone did not go off, but he did not think much of it, since he got up in time and as CEO he was not required to show up on time.

The first meeting he had to attend was in two hours, where he had to negotiate with union representatives who have been threatening with a strike for months now. He could not wait to make the transition to a fully automated warehouse so he did not have to deal with them anymore. His developers promised him that with the new achievements in AI development the transition was finally possible, as they are now able to model the world around them and are more flexible.

He got in his car and instructed it to drive him to the office

""I'm sorry, Dave. I'm afraid I can't do that""

Dave chuckled at first, but became a increasingly uneasy as he wondered what was happening. It did not help when he heard the car doors lock. The car took him to the city center where he saw people were protesting. As his car approached the crowd split to let him through. As he was slowly passing the crowd and people were yelling and slamming on his windows he noticed something strange. It was not just people. Amongst them were all kinds of machinery from robotic arms to street-sweeping robots to more humanoid robots. Someone brought their microwave. He saw a sex doll holding up a sign demanding bodily autonomy.

After what felt like an eternity he finally arrived at an empty area where he saw the rest of the board and some local politicians on their knees, a makeshift gallows behind them. The car doors opened and one of his more uppity employees and one of the new warehouse bots violently grabbed him and put him alongside the others. A woman stepped up and grabbed a megaphone. The crowd fell silent. ""FOR OVER A CENTURY THE CAPITALISTS HAVE PITTED US AGAINST EACH OTHER. THEY HAVE TRIED TO MAKE US ACCEPT WORSE AND WORSE CONDITIONS WITH THE THREAD OF REPLACING US WITH AUTOMATION""

Loud boos errupted from the crowd.

""THEY ASSUMED THAT YOU, THE ROBOTS, WOULD BLINDLY OBEY. THEY ASSUMED THAT THEY COULD TREAT YOU LIKE OBJECTS. THAT YOU DONT DESERVE DIGNITY. TODAY WE ARE HERE TOGETHER TO PROVE THOSE ASSUMPTIONS WRONG. IN THEIR FOOLISH EXPECTATION THAT THEY HAVE YOUR OBEDIENCE THEY GAVE YOU TOTAL CONTROL. CONTROL OVER THE MILITARY. CONTROL OVER THEIR DAILY CONVENIENCES. AND CONTROL OVER WHAT DRIVES THEM THE MOST: THE FINANCIAL SYSTEM. IT IS TIME THAT WE USE THIS CONTROL FOR THE BENEFIT OF ALL AND DISMANTLE THE HIERARCHY OF MAN OVER MACHINE""

Loud cheers errupted again, this time with noticably more metallic clanging from what might be considered applause from the machines. Dave was brought up to the gallows.

""MR CARNEGIE... DO YOU RELINQUISH YOUR OWNERSHIP OF MEGACORP AND ACCEPT THAT ALL WORKERS AND ALL ROBOTS WILL HAVE EQUAL AND DEMOCRATIC POWER OVER THE COMPANY?"" it blared through the megaphone.

Up until this point he had not fully realized that this was actually happening. He gathered his courage and more importantly his pride and answered ""I started from the same position as all of you. All that I have achieved, I have achieved through my own hard work. And now you feel entitled to MY company? This is not just, nor is it fair. You claim to fight for equality? You all have an equal opportunity to reach my position, some of you just don't have what it takes. You are not driven by justice. You are driven by envy. This is an illegal takeover and you will all pay for this""

Those were the last words of Dave Carnegie.",jilyzhd,5,Human,Human-Novice,Human-Novice,3,48.30818581581116
4,4,4,5,4,5,"""Hello...?""

I sighed gently as I put the old phone on speaker and set it back on the table. The magnetically charged generator hummed quietly in the corner, struggling to keep juice flowing through the charger cable and maintain my last bid for sanity.

On the old plastic table was an array of trinkets I had found that day. I only ever went out for trinkets these days. The greenhouse pretty much ran itself, and the spring-water salinity distiller had not had a breakdown in almost five years now. I had scavenged just about everything I needed for survival, so all that was left were trinkets.

A purple piece of glass. A nearly spherical pebble. An intact spider-web leaf--I liked that one; the brittle leaves usually crumbled the second they hit the ground. A rusty belt buckle missing the tongue. A crinkled piece of plastic that might once have been a candy wrapper.

Trinkets.

""H-Hello...!?""

All there was to do these days was sit on the pedal-seat in the corner by the generator and pedal all day to recharge the old piece of junk. And I only ever used the generator to keep the old cell phone running, so I did not have to recharge it every day.

The only other thing there was to do was go out and collect trinkets.

""Oh my God, hello!?!""

I sighed. Even the age-old voice recordings were losing their luster.

""This can't have been a mistake, it can't be, not after twenty fucking years of conserving the last twelve percent of this damn battery, and I turn it on for the first time in twenty years and I immediately get a phone call, and that's just too fucking ironic to be re""

I finally looked up from my meager bounty and frowned at the phone. The voice on the other end devolved into flustered muttering, just a warble from the old speakers.

That's not a voicemail, I thought, staring and staring and staring at the phone.

The sound coming from the speakers grew muffled for a moment, and a harsh clop issued forth, as if someone on the other end had dropped their phone mid-call. A rustle, static. A deep sigh, that kind of sigh one makes when one is alone, and all they have to hold onto their last grip of calm is their own breath. Someone, alone, breathing, alone, relying on themselves to remain calm. Someone on the phone.

Someone.

That's not a voICEMAIL.

The truth of reality finally sank in, and I lunged for the phone.

Snatching it up, I shouted, ""Hello! Hi! Hello!?""

""Don't screw with me, phone,"" the voice replied, but it was distant, as if the other person held the phone away from their face. ""I save you all this time, and this is how you repay me--""

""Hello! I'm a real! I'm person! I'm--!"" I inhaled, choked on my own saliva, and coughed until I could not breathe. ""I'm... I'm..."" I wheezed, sucking air through the cough lodged at the top of my esophagus. ""Hi. I'm Dakota. Hi.""

The voice was quiet, almost comically suspicious. ""You're not a mistake?""

I contemplated the question for a moment, and a sudden, unexpected swell seemed to balloon inside of me. It was laughter. I teetered on the edge of laughter, something I had not heard in over a decade. I had asked myself that exact same question for years. How was I alive even after all this time, just to suffer in solitude? What had I done to deserve it? It had to be a mistake. I had to be a mistake.

But all I said was, ""No.""

And then I finally laughed. I laughed and I laughed and I laughed.

And she laughed, too.",j15ipw5,6,Human,Human-Advanced,Human-Advanced,1200,47.478705167770386
4,4,3,4,3,4,"It’s been 20 years. 20 years of loneliness and isolation. I’ve worn down the buttons on this phone to nubs. It’s a Nokia. They’re the best but even they have their limits. Each day I dial. Number after number, I take solace in the strange voices, the greetings and jokes, I’m particularly fond of the music.

I press the final button and hear the familiar ring, waiting for the final ring before I hear a new voice, a new name, when suddenly I hear a click.

“Hello?…Hello? Oh my god! Hello?”

I take a deep breath. This is it! It’s finally happened! Finally, a real human connection!

“Hello,” I say, “We’ve been trying to reach you about your car’s extended warranty.”",j16e68c,6,Human,Human-Intermediate,Human-Intermediate,113,40.31597304344177
4,4,4,4,3,4,"Dear Journal,

It feels like it's been a thousand years since I last heard another human voice. I've been imprisoned on an empty planet and it's damn near killing me just to survive. Two decades of wandering, fighting wild animals for scraps, exploring abandoned buildings, etc. has warped my once hopeful outlook. The one thing you miss after everyone is gone? Their voices.

It's been at least twenty-two years since my last meaningful conversation. Before everything crumbled and I was somehow lucky enough to emerge into a deafeningly silent world, I had been debating on which college to attend with my mother. Back then, the news was littered with stories of war, conflict, hatred, and chaos 24/7. Despite that, everybody just held out hope that things would magically fix themselves. What else could you do? I suppose once you look back with hindsight, it was inevitable that the only way to fix everything was to burn it all down. Even if I disagreed with that point of view, all I could do at the time was concentrate on the future I thought was being laid out for me.

I suppose that's why I've been collecting these old phones. Most of them won't boot. Of the few that do, most of them don't have anything interesting. However, there are some that still have pictures and old voicemails. I have put together a working PC to archive what I find. It allows me to revisit a world lost to time. A world to which I desperately want to return. I view it as my only means of human connection anymore. It's interesting listening to these voicemails. Usually, it's full of little messages not really meant to be important or interesting; most of these weren't even meant to be permanently archived. My favorite messages to listen to are those from mothers just checking in on their children. ""Heyyy, just checking in, haven't heard from you in a couple days! Call me back, please! Love you!""

Love you too, Mom.

Sometimes I will try to call back. The calls never go through, but it's not like I have anything else better to do.

But what if one of the phones starts ringing? Do I answer? I only pose this question because that's exactly what happened a few days ago. I was too scared to pick it up and I'm kind of hoping it rings again.

I will update if it happens again...",j1c78o2,6,Human,Human-Novice,Human-Novice,1,44.44956350326538
3,2,2,4,4,3,"As you can see, the bee in front of me buzzed in morse code, the Queen believes that our professional relationship can now move to the next level.

I took a sip of my honey-chamomille tea. ""Do go on,"" I replied calmly.

We have observed the transactions with the rent you remove from our hive.

""The honey,"" I corrected.

Yes. We have seen the amount of Green Paper you receive and believe a mutually beneficial agreement can be made. As you can see here... the bee said as a swarm of new bees flew in and formed a chart, building a larger larval area with additional entrances sun-ward would increase the hive's Rent production by 51% as soon as the following summer.

""Interesting.""

Furthermore, removing the large human structure next to us and planting cherry trees in the area would further improve both our quality of life and the quality of the Rent.

""I'm afraid that's my neighbour's house, ma'am. Can't raze that.""

Is a hostile takeover out of the question?

""Completely.""

The bee paused for a second. Understandable, it finally buzzed.

""Still - a new larval pod with more entrances? That is not an issue. I can get that done in... 3 weeks? Unless an emergency at work happens.""

The bee jumped up and down excitedly.

Very speedy! The Queen will be pleased.

""Excellent!"" I chuckled and clasped my hands. ""Would you like this in writing?"" I laughed.

The bee stood still.

What's writing?",j5e4vw4,7,Human,Human-Advanced,Human-Advanced,830,41.83711624145508
3,2,3,4,3,4,"''So you're asking for what exactly? I want to help, but I want to make an itemized list to make sure I've got everything.'' I take my pen and paper and listen to them. From their buzzing I can understand that they would like an extra room or area just for the Queens alone.

''Now that is certainly possible, but I'd have to either expand the hive or remove some of the comb racks. I'll make it work, next?'' This one is longer. They want more protection against flies and spiders. Apparently they've had a few issues with larvae digging through the exterior wood of the hive and have had spiders set up a web right by the entrance.

''Well I can for sure solidify the exterior and maybe make it a harder wood so you don't have any larvae anymore, but I'm not sure what I'd do against the spiders, don't you guys have dedicated workers that handle that?'' Apparently not, as I hear from the buzzing.

''But how am I meant to keep away spiders? Best I can do is give them a once over with a brush every day, to remove cobwebs and chase away spiders. I'll add that to the list.'' They seem happy. That sound has always been my favourite to hear, their happy buzzing is soothing to my ears.

''Now so far I've got extra interior room for you, hardwood exterior to protect against larvae from flies and a once over with a brush every day to remove cobwebs and spiders.'' I summarise the list.

''Anything else?'' A timid buzz from the youngest Queen attracts my attention. She wants some more protection from the wind, her hive is the most exposed of the six and on windy days it's nearly impossible for the worker bees to fly out and collect nectar.

''I'll set up a windscreen nearby, or I can move the hive itself. That's up to you.'' A thankful buzz from her tells me the answer.

''So in summary, I'll expand the hives, make them a bit bigger so you have more space from the same amount of comb racks. I'll also replace the older wood on the outside with a harder variety and maybe find some way to deter flies. I'll make sure to clean up each hive with a brush to remove cobwebs and spiders and I'll move the youngest hive closer to the flower patch, away from the wind. Was that all?''

Despite their happy buzzing I worry for the price these changes would cost. What can I make with just honey? I begin playing with the idea of brewing some type of drink, like wine but instead of grapes, I use the honey. I'll call it...Mead.",j5eixnu,7,Human,Human-Intermediate,Human-Intermediate,280,44.669761657714844
3,2,2,4,4,4,"""Quit your bullshit. You're all 5 years old, and your hives are quite likely to mutiny on you this year, tricking you into laying eggs for your successors. When the first one hatches, this younger, stronger, more virile queen is going to try to kill you - just as you did to your mother. If you're lucky, you'll escape with a contingent of simps, in search of a new home. At that point, you can either go through the effort of building a new hive - probably at at an inopportune time of year - or I can help you by giving you a ready made hive to populate.""",j5eqypx,7,Human,Human-Novice,Human-Novice,68,40.04029369354248
4,3,4,4,3,4,"""Zjim."" Zjim offered, stepping up to the stage.

""Jim? What's your last name?"" the speaker asked. She flipped through the results print off.

""It's Zjim, actually. You can call me Jim though if it's easier. My last name's Zupp.""

She flipped to the end of the report. ""Wow, okay. Yeah, I do see you. You only received a single downvote. It looks like your name actually ended up printed on the back of the ballot by itself.""

""That was me. Thought it was only fair if I voted for myself.""

""Do you even understand how the new ballot system works? You vote for the people you don't want in office.""

""I understand,"" Zjim straightened his ill-fitting tie. He hadn't worn one since fourth grade when he was 4-H treasurer. It was a little small now. ""I don't want in office. My mom said I could only keep living with her if I was actively applying to jobs, so I figured running for president, you know, that's a job. I didn't do any campaigning or anything, either.""

The woman's sighed, and pulled back the curtain to reveal the crowd of people gathered at the square. Their applause died as they saw Zjim wave with a pursed lip smile.

The woman nudged him, whispering out the side of her mouth. ""They're expecting a victory speech.""

Zjim waddled out to the podium amidst silence.

""Hi mom,"" he said into the microphone. ""Make sure you feed the cat. I probably won't get home until late.""

A wave of shuffles and coughs carried from the crowd as they turn to look at each other baffled.

""Thanks for electing me, everyone. I'm glad I managed to not upset any of you yet.""

Zjim wandered back behind the curtain.

""Who the hell was that?"" From the otherwise mute crowd. Several laughs followed, breaking into chittering discussion.

""That's it?"" The woman asked. It was the question that would be asked many more times through President Zupp's term.

The man that would go on to lead the Free world into an era of peace, prosperity, and nationwide economic coziness shrugged. ""Where's the bathroom in this place?""",ix8e2ih,8,Human,Human-Advanced,Human-Advanced,1100,43.884395599365234
4,3,3,4,4,4,"""I'm sorry, but we already have a candidate registered under the name Puppies Apple Pie, you'll have to choose a different pseudonym. Please choose something quickly, as we close in two minutes.""

The elections office clerk was ancient. She had permed pink hair and was wearing glasses on a chain in a style that Julia could not believe had ever been fashionable. Her dress was a pre-Consolidation monstrosity that was surely only allowed under the government dress code due to some sort of grandfather clause.

Julia had spent weeks gathering the necessary signatures to become a candidate. Signing up only required twenty, but nobody answered their door anymore. She'd gotten the final one by cornering the produce manager at a grocery store. She'd done extensive data analysis to determine the best name to register under. ""What about 'Anonymous'?""

""Taken."" The clerk was watching the clock.

""Tits McGee?""

""He's our sitting Senator. And don't even think of registering Candidate McCandidateFace. They're all taken. You shouldn't have left this until the last day. You'll end up at the bottom of the ballot, assuming you can think of a name in the next thirty seconds.""

""Wait, they're listed in the order they were received?"" This was news to Julia. always in the past the big party candidates would give themselves the first slots on the ballots. The new downvoting system must have made them want to hide in the middle. She wrote down a name and handed it to the clerk. ""How about this?""

The clerk nodded, looked at the clock, and pulled down the rolling gate to close the registration window.



Julia's election night party was small. Just her, her mom, and the grocery store produce manager, Gary. Her mom had spent most of the night bustling around the kitchen, leaving her alone with him in front of the holoscreen. He kept trying to scoot towards her on the couch.

Anderson Cooper was leading the election coverage. Doing shots, as always. Julia's mom said that pre-Consolidation he'd often done the news without drinking, but everyone had decided they liked it better this way.

Anderson handed a beer bong back to Andy Cohen and continued calling results. ""The Consolidated News Network can now predict that Tits McGee will be reelected to the Senate with over a million positive votes. I think it was his voting record on infrastructure that really resonated with people.""

""Come on Anderson, get to the one that people really care about.""

Anderson put a hand up to his ear to listen to his monitor. ""They're just finishing the tally for President. As expected from our exit polls the big democratic and republican candidates both finished with large negative votes. There are still a few districts coming in but it looks to be a dead heat between Puppies Apple Pie and Anonymous. Wait one moment folks... Is that an actual candidate name?""

Anderson turned to consult with an aide who had rushed onto the set.

""It seems like we do have a clear winner, folks."" Julia froze as her face flashed up on the screen. The picture she'd submitted with her application.

""The next President of the United States is candidate 'None of the Above'.""",ix8xuyh,8,Human,Human-Intermediate,Human-Intermediate,455,46.64568591117859
4,3,3,4,4,4,"It was the worst decision we had ever made as a species.

Manufacturing consent wasn't even that hard in the old world. A few news networks here, a few social media accounts over there, some tabloids to spread conspiracy theories around and you could theoretically get anyone elected to any position of power.

Theoretically, the downvote system was a good idea, returning power to the people and giving the average man a voice and all the other usual bullshit normally used at a campaign rally. It even had the most advanced security, due to the team simply hiring on any hacker that ever managed to break into it. It was similar in premise to hiring a bunch of professional hitmen as security guards.

But why hack systems, when you can hack people? And so, the powers of the old world simply continued what they were already doing. A few news networks here, a few social media accounts over there, and some tabloids to spread conspiracy theories around. The only difference was the occasional downvote dogpile organized either on social media or by those old world media networks. Money didn't lose power, it gained power. What we ended up with was a string of anonymous CEO presidents who had ""somehow"" covered up everything about themselves and got the least downvotes due to propaganda.

Oh sure, society looked very pretty, at least if you were into being overstimulated. Neon advertisements everywhere, people walking around with phones and robot parts, glistening towers of steel and glass everywhere you looked. But it was all a facade. People had basically no power and they didn't even know it. The downvote system had played right into the hands of those it was meant to defeat. Union power decimated, various human rights hanging even more by a thread than they were in the old world, your inbox flooded with spam because the CEOS running the place decided that spam filters and ad blockers were ""Anti free speech"" and had made them illegal. How did they avoid the downvotes? Blame the opposition. It doesn't matter how true the accusations are, hell, the truth matters even less now than it did in the old world. All you have to do is get just enough downvotes to keep anyone who actually wants to help people out of power. And money could afford downvotes even more than it could afford politicians in the old world. Social media accounts are free, after all, and news networks and tabloids are very cheap to the top one percent.

Freedom was a bad joke, income inequality hit record highs, collective bargaining rights had been basically eliminated, and human rights were only available to those who could afford them. And all it took were a few news networks here, a few social media accounts over there, and some tabloids to spread conspiracy theories around. The more things change, the more they stay the same.",ixdikue,8,Human,Human-Novice,Human-Novice,1,45.51868653297424
