book_id,title,archtypes,plotpoints,themes,keywords,timestamp,llm_annotator
51337.txt, The Man Outside,"['A young protagonist who is neglected by his biological parents and grows up in poverty.', ""A mysterious woman who claims to be the protagonist's descendant and takes care of him."", ""A group of people who claim to be the protagonist's descendants and come from the future to protect him."", 'An antagonist who is also a descendant of the protagonist and wants to change the current social order.', ""Various authority figures, such as school officials and social workers, who are puzzled by the protagonist's situation.""]","[""The protagonist's mother disappears and is replaced by the mysterious woman, Ninian."", 'Ninian takes the protagonist to a new neighborhood and provides him with luxury items, causing a commotion among the neighbors.', 'The protagonist is visited by several of his descendants, who take turns protecting him and hiring tutors for him.', 'The protagonist learns that he is in danger from his descendant Conrad, who wants to kill him in order to change the future.', 'The protagonist becomes suspicious of his descendants and begins to question their motives.', 'The protagonist learns that his descendants are from a future society that has solved many of the problems of the present, but is also facing challenges and conflicts.', 'The protagonist struggles with feelings of loneliness, alienation, and uncertainty about his identity and purpose.', 'The protagonist must confront Conrad and decide whether to accept or resist his fate.', 'The story ends with the protagonist reflecting on the meaning of his experiences and the choices he has made.']","['The nature of time and causality', 'The impact of personal decisions on the future', 'The relationship between parents and children', 'The importance of community and belonging', 'The tension between conformity and individuality', 'The influence of technology on society', 'The role of education and learning in personal growth', 'The conflict between ideals and reality', 'The struggle for self-determination and independence']","['Time travel', 'Parenting', 'Descendants', 'Protection', 'Luxury', 'Neighborhood', 'School', 'Learning', 'Conflict', 'Resistance', 'Choice', 'Identity', 'Purpose', 'Family', 'Belonging', 'Conformity', 'Individuality', 'Technology', 'Reality', 'Ideals', 'Self-determination', 'Independence', 'Causality', 'Future', 'Personal decisions', 'Fate', 'Loneliness', 'Alienation', 'Questioning', 'Reflections']",2024-01-19 12:05:27,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32684.txt, The Invader,"['Alien invader', 'Scientist', 'Host organism']","['Alien lands on new planet in search of hosts', 'Alien takes over body of native creature', 'Alien explores new world in the guise of native creature', ""Alien's actions raise suspicion and cause alarm among native creatures"", 'Alien is pursued and attacked by native creatures', 'Alien is killed']","['Exploration and discovery', 'Adaptation and survival', 'Domination and subjugation', 'Fear and prejudice']","['Alien', 'Invasion', 'Host organism', 'Possession', 'Fear', 'Prejudice', 'Discovery', 'Survival', 'Domination', 'Subjugation']",2024-01-19 12:05:47,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
30044.txt, The Carnivore,"['Altruistic beings from various civilizations who are herbivores and non-violent', 'Human who represents the last surviving member of a warring and carnivorous race']","['Beings from various civilizations visit a post-apocalyptic Earth and find a single human survivor', 'Human survivor learns that herbivorous beings did not intervene during a devastating war due to fear', 'Human survivor discovers that all remaining humans have been made sterile', 'Herbivorous beings offer to help the human survivor and atone for their inaction']","['Inter-species communication and cooperation', 'Consequences of violence and war', 'Difference between herbivorous and carnivorous societies', 'Empathy and understanding towards other species']","['Post-apocalyptic', 'Space exploration', 'Inter-species relations', 'War', 'Survival']",2024-01-19 12:06:10,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
9209.txt," The Haunted Mind (From ""Twice Told Tales"")","['The Waker: a character who experiences a transition from sleep to awakening and reflects on the nature of time and consciousness', ""The Haunting Figures: characters from the waker's past or subconscious that appear as spectral presences during moments of introspection"", 'The Dreamer: a character who embodies the capacity for imagination, hope, and optimism in the face of adversity']","[""The Waker's momentary awareness of their dreams upon waking from sleep"", ""The Waker's observation of the external world through the window, revealing a contrast between the natural beauty of the stars and the coldness of the winter landscape"", ""The Waker's confrontation with their inner demons and regrets in the form of spectral figures"", ""The Waker's realization of the interconnectedness of life and the passing of time"", ""The Waker's emergence from their existential crisis into a renewed sense of hope and possibility""]","['The Nature of Consciousness: explorations of the relationship between the mind and the external world, including the boundary between sleep and waking life', 'The Reconciliation of Past and Present: a meditation on the role of memory and regret in shaping personal identity and growth', 'The Power of Imagination: an affirmation of the capacity for creativity, joy, and resilience in the face of hardship', 'The Human Condition: reflections on the universal experiences of time, memory, loss, and redemption']","['Dreams', 'Memory', 'Time', 'Regret', 'Imagination', 'Identity', 'Growth', 'Redemption', 'Consciousness', 'Reflection']",2024-01-19 12:07:03,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
58893.txt, Race Riot,"['unyielding protagonist', 'racist antagonist', 'intellectual', 'frontier society']","['argument over treatment of native species escalates into violence', ""protagonist takes a stand against antagonist's actions"", 'mob forms and confronts protagonist', 'protagonist stands his ground and refuses to back down', 'mob disperses without further violence']","['individual vs. society', 'moral courage', 'prejudice and discrimination', 'frontier justice', 'standing up for what is right']","['conflict', 'violence', 'justice', 'discrimination', 'moral values']",2024-01-19 12:07:33,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
9221.txt," The Old Manse (From ""Mosses From An Old Manse"")","['Isolated protagonist in a rural setting', 'Complex relationship between the protagonist and the previous owner of the dwelling']","['Protagonist moves into an old parsonage previously inhabited by a clergyman', 'Protagonist reflects on the history of the house and its previous inhabitants', 'Protagonist explores the surrounding area and discovers signs of an earlier Native American settlement']","['Nature and human connection', 'The passage of time and its impact on people and places', 'The role of technology in shaping the environment']","['rural', 'history', 'nature', 'technology']",2024-01-19 12:08:18,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32487.txt, A Gift For Terra,"['Archetypally flawed protagonist who matures over the course of the story', 'Mysterious and technologically advanced beings who serve as mentors', 'Antagonists motivated by fear and misunderstanding']","['Protagonist discovers a mysterious artifact and takes it home', ""Protagonist experiences disturbing visions and begins to suspect the artifact's origin"", 'Protagonist meets the mysterious beings and learns the truth about the artifact', 'Protagonist returns home, bringing the artifact and its secrets with him', 'Protagonist confronts the antagonists, using his newfound knowledge to resolve the conflict']","['Discovery and personal growth', 'Conflict resolution through understanding and cooperation', 'Cautionary tale about the misuse of knowledge and power']","['science fiction', 'discovery', 'mentorship', 'conflict', 'cooperation']",2024-01-19 12:09:14,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
53045.txt, The Masked World,"['Silent and stoic protagonist who is haunted by the death of his wife', 'Crew members of a space exploration team with various specializations', 'An alien entity that communicates through unusual means']","['Astronauts land on a mysterious planet to investigate previous failed missions', ""Discovery of the remains of the protagonist's wife and a strange plant near the site"", 'Protagonist becomes obsessed with analyzing the DNA of the mysterious plant', 'Sudden appearance of a survivor from a crashed spaceship', 'Reveal of a hidden message encoded within the DNA structure of the plant', 'Escape from the planet with newfound knowledge']","['The power of communication beyond conventional means', 'The impact of loss and grief on personal motivation', 'The importance of understanding and respecting unfamiliar environments']","['space exploration', 'genetic engineering', 'decoding hidden messages', 'pseudomorphic life forms']",2024-01-19 12:09:48,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
29931.txt, The Big Tomorrow,"['The archetype of the obsessed individual with a grand dream, willing to sacrifice everything to achieve it.', 'The archetype of the skeptical and pragmatic individual who initially opposes the dreamer but eventually supports him.', 'The archetype of the loyal companion who stands by the dreamer through thick and thin.']","['The protagonist loses his business partner due to disagreement over a risky venture.', 'The protagonist struggles to fund and build a moon rocket despite numerous setbacks.', 'The antagonist, former business partner, initially hinders the protagonist but eventually becomes instrumental in the success of the moon mission.', 'The moon landing mission is successful, resulting in a triumph for the protagonist.']","['The theme of perseverance and determination in pursuit of a dream.', 'The theme of overcoming adversity and doubters to achieve success.', 'The theme of the importance of collaboration and unity in achieving seemingly impossible goals.']","['space exploration', 'determination', 'innovation', 'leadership', 'partnership', 'teamwork']",2024-01-19 12:10:16,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32134.txt, The Dictator,"['Modal protagonist conflicted between individuality and conformity', 'Radical mentor figure seeking to overthrow the status quo', 'Authoritarian figure unbeknownst to the protagonist']","['Protagonist trained for ten years to assassinate the Dictator', 'Arrival in the capital city and meeting with former classmate', 'Testing and evaluation for top-secret work', ""Discovery of the Dictator's true nature and purpose"", 'Assassination of the Dictator and unexpected consequences']","['Conformity vs Individuality', 'Authority and Power', 'Perception and Reality', 'Deception and Manipulation', 'Revolution and Change']","['Democratic Inequality', 'Individuality', 'Self-Directed Life', 'Figurehead Leadership', 'Warped System', 'Mediocrity Surroundings', 'Common Man Empowerment', 'Mass Control', 'Elite Rule', 'Coincidental Opportunities']",2024-01-19 12:10:46,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51493.txt, Kreativity For Kats,"['Depressed young cat', 'Concerned cat owner', 'Boisterous children', 'Menacing neighborhood cats']","['Cat loses interest in water', 'Owner experiments with water sources', ""Cat's water bowl repeatedly upsets"", 'Mystery is solved', ""Family appreciates cat's unique art form""]","['Creativity and individuality', 'Overcoming adversity', 'Problem solving', 'Acceptance and appreciation']","['cat', 'domestic', 'art', 'problem solving', 'family', 'curiosity']",2024-01-19 12:11:04,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
50766.txt, The Snowball Effect,"['arrogant administrator', 'disrespected scientist', 'persuasive leader']","['administrator challenges scientist to prove the value of sociology', 'scientist creates a mathematical model to analyze social institutions', 'scientist demonstrates the potential consequences of the model in real-world situations', 'persuasive leader uses the model to gain power and influence']","['power dynamics', 'unintended consequences', 'arrogance vs humility']","['sociology', 'mathematical modeling', 'leadership', 'power', 'institutions']",2024-01-19 12:11:24,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
24965.txt, The Deadly Daughters,"['The archetype of the courageous and independent protagonist, fighting against a powerful and oppressive regime.', 'The archetype of the resourceful and loyal ally, supporting the protagonist in their quest.', 'The archetype of the powerful and ruthless antagonist, using any means necessary to maintain their power.']","['The protagonist publicly denounces the ruling party and becomes a target for assassination.', 'The protagonist survives an assassination attempt and goes into hiding with an ally.', 'The protagonist and ally form a plan to expose the truth about the ruling party and build a resistance.', 'The protagonist and ally gather support and resources for their cause.', 'The protagonist and ally launch a successful campaign against the ruling party, inspiring hope for a better future.']","['The importance of standing up for what is right, even in the face of great adversity.', 'The danger of giving too much power to a single entity or organization.', 'The value of courage, determination, and perseverance in the pursuit of justice.', 'The potential for individuals to band together and create meaningful change.']","['Political Thriller', 'Dystopia', 'Resistance', 'Assassination', 'Corruption', 'Power', 'Justice', 'Courage', 'Determination', 'Change']",2024-01-19 12:11:53,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
868.txt, The Philosopher's Joke,"['The Philosopher', 'The Pragmatist', 'The Dreamer', 'The Realist', 'The Idealist', 'The Cynic']","['Six individuals are transported back in time and given knowledge of their futures', 'Each individual must grapple with the consequences of their future choices and navigate their past relationships', 'The individuals reunite and share their experiences, leading to a newfound appreciation for the complexity of human nature']","['The limits of human perception and understanding', 'The role of fate and choice in shaping identity', 'The tension between idealism and pragmatism', 'The impact of time and aging on personal growth', 'The power of empathy and compassion']","['time travel', 'philosophy', 'identity', 'relationships', 'growth', 'fate']",2024-01-19 12:12:19,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
24150.txt, Disturbing Sun,"['Scientist', 'Patient', 'Doctor']","['Discovery of a new phenomenon related to sunspots', 'Identification of the cause of the phenomenon', 'Correlation of the phenomenon with human behavior', 'Explanation of the mechanism behind the phenomenon']","['Connection between solar activity and human behavior', 'Impact of unseen forces on human emotions', 'Role of scientific observation and analysis in understanding the world', 'Limitations of current scientific knowledge and understanding']","['sunspots', 'S-regions', 'human behavior', 'psychology', 'astrophysics', 'radio astronomy', 'neurosis']",2024-01-19 12:12:40,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32040.txt, Diplomatic Immunity,"['Alien Ambassador with seemingly invincible powers', 'Group of humans with various areas of expertise (science, engineering, psychology, military) trying to defeat the Ambassador', 'Alien Empire with advanced technology and resources']","['Arrival of the Alien Ambassador', 'Attempts to negotiate with the Ambassador', ""Realization that the Ambassador's powers are based on turning into whatever attacks him"", 'Experiments conducted to exploit this weakness', 'Successful destruction of the Ambassador', ""Discovery of the Ambassador's signal indicating the location of Earth to the Alien Empire"", ""Efforts to prevent the Alien Empire's invasion"", 'Camouflage of the planet to protect it from the Alien Empire']","['Cooperation and collaboration among diverse individuals towards a common goal', 'Innovation and creativity in solving complex problems', 'Power and vulnerability in seemingly invincible beings', ""Survival and protection of one's own community against external threats"", 'Adaptation and resilience in the face of overwhelming adversity']","['aliens', 'invincibility', 'transformation', 'collaboration', 'innovation', 'survival', 'protection', 'power', 'vulnerability', 'camouflage']",2024-01-19 12:13:24,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
50835.txt, The Luckiest Man in Denv,"['Ambitious young man', 'Powerful general', 'Manipulative woman', 'Inept rival']","['Young man gains access to higher level through connections', 'Young man becomes suspicious of manipulations and deceit around him', 'Young man is chosen for a dangerous mission', 'Young man succeeds in his mission and gains trust of the powerful general', ""General reveals his plans for peace and seeks young man's help""]","['Ambition and social climbing', 'Power and manipulation', 'Betrayal and loyalty', 'Discovery and growth', 'Peace and cooperation']","['Dystopian society', 'Military hierarchy', 'Espionage and sabotage', 'Leadership and vision', 'Personal transformation']",2024-01-19 12:13:48,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
59150.txt, Lost Art,"['The wise and resourceful elder', 'The young, inexperienced follower']","['The discovery that the crew is stranded on a spaceship with no power', 'The revelation that the elder has knowledge of an ancient technology', 'The use of ancient technology to build a fire to survive the cold night', 'The expectation of rescue']","['The importance of preserving all forms of knowledge', 'The value of experience over blind faith in technology', 'Survival through adversity', 'The conflict between tradition and innovation']","['Space travel', 'Generational divide', 'Lost technology', 'Survival', 'Rescue']",2024-01-19 12:14:06,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
59363-8.txt, Ecology on Rollins Island,"['One man resistance movement', 'Government sociologist', 'Ecologist', 'Watermen', 'Food clerks']","['Depletion of resources forces the government to monopolize food sources', 'Protagonist resists the monopolization by poaching and selling food illegally', 'Protagonist is visited by a government sociologist who offers him a job at a Penal Food Processing Plant', 'Protagonist refuses and is offered an alternative job at a remote bird station', 'Protagonist accepts the offer and moves to the bird station with a group of other individuals', 'Protagonist and his group successfully transform the bird station into a self-sustaining community', 'World begins to collapse as the WFI fails to provide basic needs']","['Resistance to oppressive systems', 'Self-sufficiency and sustainability', 'Impact of monopolies on society', 'Collapse of industrial civilization', 'Adaptation and innovation in the face of scarcity', 'Community building and cooperation']","['Post-apocalyptic', 'Ecology', 'Resistance', 'Sustainability', 'Industrial collapse', 'Monopoly', 'Community']",2024-01-19 12:15:03,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
29662.txt, The Moon is Green,"['Apathetic and depressed protagonist', 'Controlling and jealous husband', 'Charming and mysterious outsider', 'Radiation-exposed pariah']","['Protagonist sees a green moon outside her sealed shelter', 'Husband becomes increasingly controlling and restrictive', 'Mysterious outsider appears with tales of a new world', 'Protagonist discovers the truth about the mysterious outsider', 'Protagonist makes a choice between safety and freedom']","['The effects of isolation and confinement', 'The dangers of ignorance and fear', 'The importance of hope and curiosity', 'The impact of societal expectations on individuals', 'The decision to prioritize personal freedom over safety']","['Post-apocalyptic', 'Radiation', 'Survival', 'Mystery', 'Marriage', 'Trust', 'Deception', 'Freedom']",2024-01-19 12:15:57,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
28554.txt, Beyond Lies the Wub,"['The Captain: A pragmatic man focused on practical concerns and survival, willing to do whatever it takes to ensure the success of his mission.', 'The Crew: Various personalities, some questioning the morality of their actions and others more concerned with practicality.', 'The Wub: A wise and ancient creature that values life and intellectual pursuits over material ones.']","['The discovery and acquisition of exotic animals, including the Wub, for food during a long journey.', ""The gradual realization of the Wub's intelligence and ability to communicate through telepathy."", 'The debate among the crew members regarding the ethics of killing and consuming the Wub.', ""The Captain's eventual decision to kill and eat the Wub despite its objections and the disagreement among the crew."", 'The aftermath of the meal, with the crew experiencing a sense of guilt and unease.']","['The conflict between pragmatism and ethics.', 'The value of life, regardless of species.', 'The importance of communication and understanding.', ""The impact of choices on one's conscience."", 'The consequences of taking life for personal gain.']","['Alien', 'Communication', 'Conscience', 'Culture Clash', 'Ethics', 'Intelligence', 'Life Value', 'Pragmatism', 'Space Travel', 'Wisdom']",2024-01-19 12:16:32,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51726.txt," Wall of Crystal, Eye of Night","['Protagonist with a tragic flaw leading to downfall', 'Antagonist seeking revenge', 'Helper providing guidance and assistance']","['Protagonist gains immense power and wealth, but loses touch with reality', 'Antagonist seeks revenge on protagonist for past actions', ""Protagonist's hubris leads to downfall"", 'Antagonist discovers solution to previous failure', 'Antagonist finds helper to achieve goals', 'Protagonist realizes the error of their ways and tries to make amends', 'Antagonist suffers consequences of their own actions']","['Power corrupts', 'Revenge and forgiveness', 'Redemption and self-realization', 'Tragic flaw leading to downfall']","['business', 'power', 'revenge', 'hubris', 'redemption', 'tragedy']",2024-01-19 12:17:02,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
28583.txt, The Calm Man,"['Unassuming protagonist', 'Calm and composed antagonist', 'Devoted family members']","['Protagonist feels out of place in society', 'Protagonist meets mysterious stranger', 'Stranger proposes marriage to protagonist', 'Marriage and parenthood ensue', ""Child's health questioned"", 'Strained relationship between protagonist and spouse', ""Protagonist's urge to visit spouse's workplace"", 'Unexpected revelation and departure']","['Appearance vs reality', 'Alienation and isolation', 'Family dynamics', 'Parental expectations', 'Emotional distance', 'Discovery of truth', 'Unconventional relationships']","['Frank Belknap Long', 'Science Fiction', 'Transformation', 'Marriage', 'Parenting', 'Communication', 'Betrayal']",2024-01-19 12:17:26,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32903.txt, The Victor,"['Rebel fighting against a oppressive system', 'Pragmatic and cunning authority figure', 'Group of individuals subjected to psychological manipulation']","['Protagonist gets captured and sent to a moon-based prison colony', 'Prisoners are subjected to psychological manipulation via bells and machines', 'Prisoners are forced to work in a food-processing facility', ""Protagonist comes up with a plan to 'beat the system' by faking his own death"", 'Prisoner kills another prisoner and disposes of the body, making it seem like a suicide', 'Prisoner successfully fakes his own death using the identity of the deceased prisoner']","['Resistance against oppression', 'Identity and individuality', 'Deception and subversion', 'Psychological manipulation and control', 'Cooperation and teamwork']","['science fiction', 'dystopia', 'prisons', 'psychological thriller', 'death', 'immortality', 'political commentary', 'conspiracy']",2024-01-19 12:17:56,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51240.txt, The Addicts,"['Marak addict with impaired judgement and decision-making abilities, Marak-free spouse with clear judgement and determination to survive', 'Loving couple turned estranged due to addiction']","[""Addict spouse puts marak in non-addict spouse's drink to 'cure' them"", 'Non-addict spouse returns the favor by giving addict spouse an anti-virus dose', 'Addict spouse realizes their source of marak has been destroyed']","['Impact of addiction on relationships', 'Desperate attempts to survive', 'Perception of reality altered by addiction']","['Addiction', 'Survival', 'Relationships', 'Deception']",2024-01-19 12:18:12,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51268.txt, The Girls From Earth,"['Frontiersmen struggling to survive in a harsh environment', 'Government officials manipulating events from afar', 'Unwilling colonists sent to distant planets']","['Men from several planets are offered women from Earth as marriage partners', 'Men from the Second System colonize various planets, leaving behind few women', 'Women from Earth are sent to various colony planets as prospective wives for the colonists', 'Colonists find that the Earth women are not what they expected']","['Culture shock and adaptation', 'Manipulation and exploitation of individuals for societal gain', 'Expectations vs reality']","['colonization', 'marriage', 'deception', 'survival', 'society']",2024-01-19 12:18:37,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
23198.txt, With No Strings Attached,"['Angry Old Man', 'Skeptical Observers', 'Wise Inventor']","['Man invents revolutionary technology', 'Man fails to convince others of its potential', 'Man sells technology as something else to generate interest', 'Technology is eventually recognized for its true value']","['Perception vs Reality', 'Belief and Disbelief', 'Value of Ideas', 'Overcoming Skepticism']","['hydrogen fusion', 'battery', 'patent', 'nuclear power', 'sales technique', 'innovation', 'military technology']",2024-01-19 12:19:00,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
