book_id,title,archtypes,plot_points,themes,key_words,timestamp,llm_annotator
9209.txt," The Haunted Mind (From ""Twice Told Tales"")","['The introspective protagonist, grappling with their inner demons', 'Griefs and regrets, personified as ghostly apparitions']","['Midnight awakening from a deep sleep', 'Observation of the external world from the bedside', 'Confrontation with spectral figures from the unconscious mind']","['The nature of consciousness and self', 'The interplay of past, present, and future in human experience', 'The duality of reality and illusion']","['Dreams', 'Haunting', 'Memory', 'Regret', 'Solitude']",2024-01-18 23:04:20,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
58893.txt, Race Riot,"['The protagonist, John McCullough, is a man who values principles and personal autonomy over social acceptance and conformity.', 'The antagonist, Henry Watts, represents the narrow-mindedness, prejudice, and mob mentality that threaten peaceful coexistence and individual freedoms.', ""The supporting characters include Mary, John's wife, and Pete Tallant, an intellectual who tries to mediate conflicts between humans and Centaurans."", 'The Centaurans are portrayed as a marginalized, oppressed group that struggles for equality and respect amidst growing hostility and violence.', 'Various townsfolk represent the spectrum of attitudes towards the Centaurans and illustrate the complexities of human nature and behavior.']","['The riot begins due to escalating tension between humans and Centaurans, sparked by a seemingly innocuous event.', 'McCullough takes a stand against the mob and refuses to surrender the injured Centauran to them, despite pressure and threats.', 'McCullough confronts the mob and successfully defends his home, asserting his independence and commitment to his principles.', 'The town gradually turns against McCullough due to his actions, highlighting the risks and sacrifices associated with taking a strong moral stance.', 'Despite mounting adversity, McCullough remains resolute in his convictions, demonstrating his unwavering courage and integrity.', 'The story emphasizes the importance of empathy, understanding, and communication in addressing societal issues and fostering positive relationships between diverse groups.']","['Individualism vs. Conformity', 'Prejudice and Discrimination', 'Conflict Resolution', 'Empathy and Understanding', 'Courage and Integrity', 'Peaceful Coexistence', 'Moral Stances and Social Responsibility', 'Intergroup Relations', 'Power Dynamics', 'Personal Autonomy and Freedom']","['Frontier Life', 'Colonialism', 'Xenophobia', 'Resistance', 'Polarization', 'Escalating Tension', 'Violence and Nonviolence', 'Social Justice', 'Principled Stand', 'Minority Rights']",2024-01-18 23:05:12,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
9221.txt," The Old Manse (From ""Mosses From An Old Manse"")","['The Solitary Intellectual', 'The Seeker of Wisdom', 'The Humble Scholar', 'The Reformer', 'The Wandering Visionary']","['The arrival at the Old Manse and the beginning of a new phase of life', 'The exploration of the study and the discovery of the potential for intellectual growth', 'The observation of the natural world and the reflections on the relationship between the human soul and the physical world', 'The interactions with visitors and the impact of the Old Manse on their consciousness', 'The gradual realization of the limitations of the intellectual journey and the need for a deeper understanding']","['The Power of Place', 'The Relationship Between Intellect and Nature', 'The Impact of Environment on Human Consciousness', 'The Limits of Intellectual Pursuit', 'The Search for Meaning and Purpose']","['New England', 'Transcendentalism', 'Nature', 'Intellect', 'Consciousness', 'Spirituality', 'Simplicity', 'Solitude', 'Wisdom', 'Reformation']",2024-01-18 23:05:55,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
53045.txt, The Masked World,"['The stoic and determined protagonist, who is haunted by the loss of his wife', 'The crew of the spaceship, initially wary of the protagonist, but eventually coming together to understand the mystery of the planet']","['The arrival of the protagonist and his crew on a mysterious planet', ""The discovery of the remains of the protagonist's wife"", 'The finding of a cryptic message encoded within the genes of a plant', 'The revelation that the planet has pseudomorphic life, which cannot leave the planet']","['The exploration of the unknown', 'The importance of understanding and respecting nature', 'The power of communication and technology', 'The emotional impact of loss and grief']","['space', 'astronauts', 'genetic engineering', 'pseudomorphic life', 'communication', 'loss', 'grief', 'exploration']",2024-01-18 23:08:37,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
29931.txt, The Big Tomorrow,"['The protagonist, Joshua Lake, is a dreamer and a risk-taker, willing to sacrifice everything to achieve his dream of building a rocket to the moon', ""The antagonist, Lee Gorman, represents practicality and caution, initially opposing Joshua's dream but eventually providing the financial backing needed to make it a reality""]","[""Joshua Lake is forced to sell his company's assets to finance his dream of building a rocket to the moon"", 'Despite financial struggles, Joshua persists in his efforts to build the rocket, motivated by his unwavering belief in his dream', 'Joshua turns to his former partner, Lee Gorman, for financial assistance, leading to a tumultuous relationship between the two', 'Against all odds, Joshua successfully builds the rocket and sends it to the moon, fulfilling his lifelong dream']","['The power of perseverance and determination in the face of adversity', ""The importance of believing in oneself and pursuing one's dreams"", 'The complexities of relationships and partnerships', 'The tension between practicality and idealism']","['science fiction', 'space travel', 'entrepreneurship', 'partnership', 'adversity', 'determination', 'belief', 'financial struggle']",2024-01-18 23:09:41,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32134.txt, The Dictator,"['Modal everyman who is selected for a special mission due to his unremarkable qualities', 'Radical nonconformist who challenges the status quo']","['A seemingly ordinary man is recruited for a dangerous mission', 'The protagonist discovers that the man he is supposed to assassinate is actually a figurehead', 'The protagonist struggles with his programming and ultimately decides to follow his own path', ""The protagonist unintentionally becomes the new 'Dictator'""]","['Conformity vs. individuality', 'Questioning authority', 'The danger of blindly following rules', 'The arbitrary nature of power']","['science fiction', 'dystopia', 'politics', 'assassination', 'conspiracy', 'modality']",2024-01-18 23:10:05,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51493.txt, Kreativity For Kats,"['Alienated protagonist', 'Domestic feline companion', 'Absent older cats', 'Bullying antagonists']","[""Protagonist's loss of'manhood ambitions'"", ""Antagonists prevent protagonist's exploration"", 'Great Spilled Water Mystery', ""Discovery of protagonist's unusual behavior"", ""Protagonist's artistic expression""]","['Inner world vs. outer world', 'Perception of reality', 'Alienation and loneliness', 'Creativity and artistic expression', 'Conflict and resolution']","['Cats', 'Adolescence', 'Depression', 'Water art', 'Mirror world', 'Conflict', 'Innovation']",2024-01-18 23:10:27,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
50766.txt, The Snowball Effect,"['The ambitious and tenacious professor, driven by a desire to prove the value of his work to the skeptical administration', 'The pragmatic and results-oriented university president, focused on maintaining the financial stability of the institution']","['The sociology department is struggling to secure funding due to its perceived lack of practical value', 'The professor and university president devise a plan to demonstrate the effectiveness of sociological principles through a real-world experiment', 'The chosen organization experiences rapid growth and evolves beyond its original purpose, drawing in various segments of society', ""The organization's expansion begins to impact the broader community, leading to unexpected consequences""]","['The power of social forces and dynamics', 'The potential unintended consequences of seemingly innocent actions', 'The importance of considering long-term implications', 'The tension between theoretical knowledge and practical application']","['sociology', 'growth', 'unintended consequences', 'social forces', 'organizational evolution']",2024-01-18 23:11:18,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
24965.txt, The Deadly Daughters,"['Bold, independent, and passionate protagonist', 'Manipulative and powerful antagonist', 'Supportive and influential ally', 'Group of ruthless enforcers']","['Protagonist delivers controversial speech about the government', 'Assistant professor gains popularity and attention due to the speech', 'Protagonist meets a mysterious woman who shares similar views', 'Goon squad attempts to assassinate the protagonist', 'Protagonist and the woman escape together', 'Protagonist falls in love with the woman and decides to stay alive']","['Power and corruption in government', ""The importance of standing up for one's beliefs"", 'Love and relationships', 'Dangerous consequences of speaking out against the establishment']","['Political dissent', 'Speech', 'Assassination attempt', 'Love', 'Escape', 'Government conspiracy', 'Revolution']",2024-01-18 23:11:42,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
868.txt, The Philosopher's Joke,"['The Philosopher: a seeker of wisdom and truth, who values knowledge and understanding above all else.', 'The Idealist: a dreamer who believes in the power of love and imagination to overcome adversity.', 'The Realist: a practical and down-to-earth individual who values stability and security.', 'The Egoist: a self-centered character who seeks personal gain and satisfaction regardless of the consequences.']","['A group of strangers, each with their own secrets and regrets, are brought together at a dinner party.', 'Through a series of mysterious occurrences, the guests are forced to confront their past mistakes and reconsider their choices.', 'As they relive their lives and explore alternate paths, the guests learn valuable lessons about the nature of time, fate, and free will.', 'Ultimately, the guests must decide whether to embrace their destinies or attempt to change the course of their lives.', 'In the end, each guest is given the opportunity to make a different choice, leading to a new and uncertain future.']","[""The power of choice and the impact of decisions on the course of one's life."", 'The nature of time and the possibility of altering the past or changing the future.', 'The tension between fate and free will, and the role of chance in shaping our lives.', 'The transformative power of love and the importance of forgiveness and understanding in healing past wounds.', 'The limitations of knowledge and the mysteries of the universe beyond human comprehension.']","['Philosophy', 'Regret', 'Redemption', 'Choice', 'Time Travel', 'Destiny', 'Love', 'Fate', 'Free Will', 'Transformation']",2024-01-18 23:12:25,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
24150.txt, Disturbing Sun,"['Scientists collaborating to investigate a mystery', 'Patients suffering from unexplained symptoms']","[""Research reveals a correlation between the patients' episodes and solar activity"", ""Doctors discover a new type of solar phenomenon, 'S-Regions', that matches the pattern of mental disturbances"", 'A link is established between S-Regions and human behavior, suggesting an external influence on human actions']","['Exploration of unknown phenomena in space and its effects on Earth', 'Questioning the notion of free will and the role of external factors in human actions', 'Interdisciplinary collaboration leading to scientific breakthroughs']","['astrophysics', 'mental health', 'solar activity', 'sunspots', 'neuroscience', 'interdisciplinary studies']",2024-01-18 23:12:48,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32040.txt, Diplomatic Immunity,"['The protagonist, Colonel Cercy, is a military man who takes a pragmatic and proactive approach to solving problems.', 'The antagonist, the Ambassador, is an alien representative who embodies a powerful and seemingly invincible force.', ""Darrig, a mathematical physicist, is a supporting character who plays a crucial role in understanding the nature of the Ambassador's invulnerability."", ""Malley, a psychiatrist, is another supporting character who helps provide insight into the psychological aspects of the Ambassador's defenses.""]","['The Ambassador arrives on Earth and announces that the planet will become part of his empire.', ""Despite initial failures, Colonel Cercy leads a team to devise a strategy to neutralize the Ambassador and prevent Earth's assimilation into the alien empire."", ""The team discovers that the Ambassador's invulnerability stems from his ability to adapt and transform into any form of attack, necessitating a creative solution to overcome this seemingly insurmountable defense."", 'The team successfully eliminates the Ambassador using a carefully crafted plan involving chaos and disruption of patterns, thereby saving Earth from assimilation.']","['Adaptation and transformation as a form of invincibility', 'The importance of understanding the nature of a problem to find a solution', 'Collaborative problem-solving and the value of diverse expertise', 'Resistance against overwhelming odds and the preservation of autonomy.', 'The impact of different ways of thinking (analytical vs. holistic) on problem-solving']","['aliens', 'invulnerability', 'transformation', 'chaos', 'collaboration', 'problem-solving', 'resistance', 'autonomy', 'adaptation', 'strategy']",2024-01-18 23:13:39,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
50835.txt, The Luckiest Man in Denv,"['The story features a power struggle between two factions within a society, each led by a charismatic and ambitious general.', 'There is a rivalry between two potential leaders, both of whom seek to gain an advantage over the other through various means, including espionage and sabotage.']","['Reuben, a young and ambitious man, is unexpectedly given the opportunity to prove himself to General May, who recognizes his potential and sees him as a valuable asset in his bid for power.', ""Reuben finds himself in the middle of a dangerous game of espionage and sabotage, as he is tasked with identifying and eliminating a traitor in General May's ranks."", 'Despite facing numerous challenges and obstacles, Reuben remains loyal to General May and ultimately helps him secure his position as the leader of their society.', 'Throughout the story, Reuben must navigate a complex web of political intrigue and deception, as he works to advance his own interests and those of General May.', 'The story culminates in a power struggle between General May and his rival, General Rudolph, as they vie for control of their society and the opportunity to shape its future.']","['The theme of ambition and the desire for power is explored throughout the story, as various characters compete with one another to achieve their goals.', 'The story also touches on the theme of loyalty and betrayal, as Reuben and the other characters must decide where their loyalties lie and whether they are willing to sacrifice their own interests for the greater good.', 'Additionally, the story highlights the importance of trust and cooperation in achieving success, as the various factions within the society must learn to work together in order to overcome their challenges and achieve their goals.']","['espionage', 'sabotage', 'political intrigue', 'power struggle', 'loyalty', 'betrayal', 'trust', 'cooperation', 'ambition', 'leadership']",2024-01-18 23:14:27,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
59363-8.txt, Ecology on Rollins Island,"[""The protagonist is a 'backward' one-man resistance movement against the World Food Institute (WFI) that controls all food resources and their harvesting."", 'The antagonist is the WFI, represented by the sociologist Ranson, who tries to convince the protagonist to work for WFI or face punishment.', ""The helper is Carter, an ecologist who offers the protagonist a way to use his skills and stay 'backward' by working at a bird station.""]","[""The WFI takes over the sound and the protagonist becomes aware of his resistance to the WFI's control."", ""The WFI sends an inspector to investigate the protagonist's food sources, leading to the discovery of the protagonist's chickens."", 'The protagonist is offered a job at the WFI or punishment, but refuses both.', ""The ecologist Carter offers the protagonist a job at a bird station, allowing him to use his skills and stay 'backward'."", 'The protagonist and his companions successfully transform the bird station into a thriving community with diverse food sources.', ""The protagonist learns about the larger problems facing the world due to the WFI's control over food resources.""]","[""The struggle between individual freedom and societal control is a major theme in the story, as the protagonist resists the WFI's control over food resources."", 'The importance of self-sufficiency and diversified food sources is emphasized throughout the story.', ""The negative consequences of centralized control over essential resources, such as food, is a major theme, as the protagonist witnesses the breakdown of services and utilities due to the WFI's focus on food production."", 'Cooperation and teamwork are also important themes, as the protagonist and his companions work together to transform the bird station into a thriving community.']","['food', 'resistance', 'individuality', 'self-sufficiency', 'cooperation', 'centralization', 'control', 'utility', 'breakdown']",2024-01-18 23:16:25,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
29662.txt, The Moon is Green,"['A married couple, Hank and Effie, live in a post-apocalyptic world where radiation from nuclear bombs has made the surface uninhabitable. They are part of a community living underground, waiting for the radiation levels to decrease enough to allow them to return to the surface safely.', 'Effie is often depicted as fragile, sickly, and prone to radiation-related illnesses, leading others to question her ability to reproduce. Hank is ambitious and career-focused, eager to prove himself in the community and secure a promising future for his family.']","['Hank comes home unexpectedly and finds Effie looking out the window at the green moon. Suspicious, he forces her to take a Geiger counter reading, which confirms her radiation levels are elevated due to a wristwatch with a radium dial.', 'Despite the potential risks, Effie becomes increasingly drawn to the idea of venturing outside. She believes that the radiation may not be as harmful as everyone thinks and that there could be beauty and life beyond their underground shelter.', 'One night, Effie opens the shutters and leads a man named Patrick inside. She met him earlier that day, and he represents a vision of a different life beyond the shelter. However, their meeting puts everyone in danger, as Hank suspects Patrick may be a pariah and a threat to their safety.', 'Patrick reveals that the dust from the nuclear bombs has transformed the landscape and led to the evolution of strange, beautiful creatures. He tries to convince Hank and Effie to join him outside, but Hank refears this would jeopardize their safety and community.', 'In a fit of jealousy, Hank aims his gun at Patrick, threatening to kill him if he does not leave. Instead, he decides to test Patrick using the Geiger counter, which confirms his suspicions – Patrick is indeed contaminated with radiation.', 'After learning about the dangers of radiation, Effie falls into despair, realizing that her dreams of a beautiful world beyond their shelter are impossible. Despite his previous warnings, Patrick grows fond of Effie and attempts to comfort her.', ""The confrontation escalates when Hank, driven by love and fear for Effie's life, begs her to return to him. Meanwhile, Patrick grapples with his feelings for Effie and the impact of revealing the truth about the world outside the shelter."", 'Despite the risks, Effie makes a bold decision to leave the shelter and explore the transformed world beyond. Both Hank and Patrick are left behind, dealing with the consequences of their actions and uncertain about the future.']","['The story explores the theme of transformation and adaptation in a post-apocalyptic world. Characters must navigate the challenges presented by radiation exposure and adapt to survive.', 'Trust and loyalty are significant themes throughout the narrative. Hank struggles to trust Patrick, while Effie wrestles with her loyalties to both men.', 'The tension between safety and freedom is a recurring theme. Characters weigh the importance of personal safety versus the desire to explore and experience the world around them.', ""The concept of home and belonging is explored through the characters' relationships with their environment and each other."", ""The role of fate and choice in shaping the future is an underlying theme in the story, particularly concerning Effie's decisions and the outcomes that follow.""]","['Post-apocalypse', 'Radiation', 'Transformation', 'Trust', 'Safety vs. Freedom', 'Home', 'Fate vs. Choice']",2024-01-18 23:17:53,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51726.txt," Wall of Crystal, Eye of Night","['Archetypal conflict between two powerful businessmen', 'Conflict between protagonist and antagonist driven by professional jealousy and competition', 'Presence of a helper character (Ermine) who acts as a mentor, guide, and eventually an ally to the protagonist', 'Depiction of the transformation and growth of the protagonist through the story']","['Protagonist acquires patents for a revolutionary video system (EmpaVid)', 'Protagonist becomes a target of competition from a rival businessman (Cortwright Burr)', 'Protagonist faces challenges in licensing the technology and gaining market share', 'Antagonist seeks assistance from Martian engineers to gain an advantage over the protagonist', 'Protagonist visits Martian city to seek a solution to his problems', 'Protagonist engages in a battle of wits with Martian engineers to obtain the solution he desires', 'Protagonist discovers the secret of immortality and gains a new perspective on life']","['Power and ambition', 'Transformation and growth', 'Conflict resolution', 'Exploration of human nature', 'Interpersonal relationships and dynamics', 'Overcoming obstacles and challenges']","['business', 'competition', 'technology', 'Martian culture', 'immortality', 'growth', 'transformation']",2024-01-18 23:20:23,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
28583.txt, The Calm Man,"['Calm and composed authority figure who keeps distance from family', 'Naive and inexperienced protagonist seeking validation from others', 'Alienated child who identifies more with the distant father']","['Protagonist struggles with self-esteem issues and seeks attention from men', 'Protagonist meets mysterious stranger and feels an immediate connection', 'Stranger reveals himself as an alien and proposes marriage to protagonist', 'Couple marries and protagonist becomes a mother', 'Alien father remains detached from family and focuses on work', 'Protagonist gives birth to an alien child, causing tension in the relationship', ""Alien father expresses disappointment in the child's imperfections""]","['Absentee parent and impact on children', 'Alienation and detachment in relationships', ""Impact of parental expectations on children's development"", 'Seeking validation and identity outside oneself', 'Difficulty in forming emotional connections']","['Frank Belknap Long', 'Science Fiction', 'Marriage', 'Alien', 'Parenting', 'Emotional Detachment', 'Self-Esteem', 'Naivety', 'Connection', 'Child Development']",2024-01-18 23:20:54,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32903.txt, The Victor,"['Determined Rebel', 'Cold-hearted Authority Figure', 'Conditioned Prisoners']","['Prisoner tries multiple times to take their own life', 'Prisoner discovers a way to truly die and succeeds', 'Rebellion is slowly forgotten by the other prisoners']","['Resistance Against Oppression', 'Dehumanization Through Control', 'Hope vs Despair', 'Individuality vs Conformity']","['Dystopian Future', 'Immortality', 'Experimentation on Humans', 'Prison Colony', 'Mechanization']",2024-01-18 23:21:17,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
