participant_id,study_id,authenticity_comments,empathy_comments,engagement_comments,emotion_provoking_comments,narrative_complexity_comments,human_likeness_comments,open_comments,story_id,premise_id,model_short,strategy
10,122,,,,,,,,j1seyv2,10,Human-Intermediate,
11,122,,,,,,just doesn't seem like an ai wrote it ,,j1seyv2,10,Human-Intermediate,
15,122,,,,,,,,j1seyv2,10,Human-Intermediate,
8,123,,,,,,"although I believe it was very likely LLM, this story also seemed slightly more authentic than the other LLM stories. ",,-2.00E+18,17,Vicuna-33B,writer_profile
10,123,,,,,,,,-2.00E+18,17,Vicuna-33B,writer_profile
11,123,,,,,,has to end on a positive note ,,-2.00E+18,17,Vicuna-33B,writer_profile
15,123,,,,,,,,-2.00E+18,17,Vicuna-33B,writer_profile
8,124,,the daughter blushing at being found out about the locket,,,,everything is too rushed and the responses to the ludicrous situations are implausible--humans would not react in such ways. ,,7.19E+18,11,Mixtral-8x7B,plan_write
10,124,,,,,,,,7.19E+18,11,Mixtral-8x7B,plan_write
11,124,,,,,,doesn't seem to match the prompt too well,,7.19E+18,11,Mixtral-8x7B,plan_write
15,124,,,,,,,,7.19E+18,11,Mixtral-8x7B,plan_write
8,125,,,,,,,,iyea2aj,14,Human-Intermediate,
10,125,,,,,,,,iyea2aj,14,Human-Intermediate,
11,125,,,,,,,,iyea2aj,14,Human-Intermediate,
15,125,,,,,,did not adhere closely to prompt,,iyea2aj,14,Human-Intermediate,
8,126,,,,,,,,jhlk6dt,16,Human-Advanced,
10,126,,,,,,,,jhlk6dt,16,Human-Advanced,
11,126,,,,,,,,jhlk6dt,16,Human-Advanced,
15,126,,,,,,,,jhlk6dt,16,Human-Advanced,
8,127,,,,,,I'm pretty sure LLM's don't cuss. ,There's quite a few formatting and grammar issues in this story. ,jijbujg,5,Human-Advanced,
10,127,,,,,,,,jijbujg,5,Human-Advanced,
11,127,,,,,,doesn't have lots of really flowery words,,jijbujg,5,Human-Advanced,
15,127,,,,,,,,jijbujg,5,Human-Advanced,
8,128,,,,,,,,j902zmd,0,Human-Intermediate,
10,128,,,,,,,I thought the story was really engaging and I would've liked to read more if I could. The writing of this story signaled something human to me because of how the vampire's feelings were conveyed. You could tell that he yearned to know what the sun was like but couldn't due to his nature. It felt as if this story had to be written by a human.,j902zmd,0,Human-Intermediate,
11,128,,,,,,uses uncommon vocabulary but has a unique story structure,,j902zmd,0,Human-Intermediate,
15,128,,,,,,,,j902zmd,0,Human-Intermediate,
8,129,,,,Sticky the imaginary friend was very creepy ,great ambiguity especially with the sticky character and Tod's suggested insanity ,,,ji7pb5l,19,Human-Novice,
10,129,,,,,,,,ji7pb5l,19,Human-Novice,
11,129,,,,,,,,ji7pb5l,19,Human-Novice,
15,129,,,,,,,,ji7pb5l,19,Human-Novice,
8,130,,,,,,,,5.26E+17,1,GPT-3.5,plan_write
10,130,,,,,,,,5.26E+17,1,GPT-3.5,plan_write
11,130,,,,,,seems impersonal,,5.26E+17,1,GPT-3.5,plan_write
15,130,,,,,,,,5.26E+17,1,GPT-3.5,plan_write
8,131,,,,,,,"The ending of this one is still machine like, but at least it's written with a greater sense of beauty ",-7.68E+18,1,Vicuna-33B,plan_write
10,131,,,,,,,I have trouble believing this was written by a human because I'm not understanding how the alien forms a connection with the two humans they met. I also don't see how helping these people was a part of the alien's mission because all they do is feed on dreams. The story doesn't delve enough into the connection between the characters so there's a lack of emotional connection I have with the story and leads me towards the story feeling more like it was written by AI. ,-7.68E+18,1,Vicuna-33B,plan_write
11,131,,,,,,seems similar in structure to another short story i read earlier and has a summary paragraph at the end,,-7.68E+18,1,Vicuna-33B,plan_write
15,131,,,,,,,,-7.68E+18,1,Vicuna-33B,plan_write
8,132,,,,,,,,ixdikue,8,Human-Novice,
10,132,,,,,,"The text was very closely related to aspects of the real world that I resonant with on an emotional level. It detailed some of the most unfortunate parts of our world and the use of repetition is almost like how a poem is written. It is a literary device typically used to emphasize a key point. Thus, I'm very inclined to believe that this was written by a human.",,ixdikue,8,Human-Novice,
11,132,,,,,,,,ixdikue,8,Human-Novice,
15,132,,,,,,,,ixdikue,8,Human-Novice,
8,133,,,,,,,,7.32E+18,4,Mixtral-8x7B,plan_write
10,133,,,,,,,,7.32E+18,4,Mixtral-8x7B,plan_write
11,133,,,,,,,,7.32E+18,4,Mixtral-8x7B,plan_write
15,133,,,,,,,,7.32E+18,4,Mixtral-8x7B,plan_write
8,134,,,,,,,,indz9ci,1,Human-Novice,
10,134,,,,,,,,indz9ci,1,Human-Novice,
11,134,,,,,,,,indz9ci,1,Human-Novice,
15,134,,,,,,,,indz9ci,1,Human-Novice,
8,135,,,,,,,many spelling errors,j1vdblg,10,Human-Novice,
10,135,,,,,,,,j1vdblg,10,Human-Novice,
11,135,,,,,,,,j1vdblg,10,Human-Novice,
15,135,,,,,,,,j1vdblg,10,Human-Novice,
8,136,,,,,,,,ji6detn,19,Human-Advanced,
10,136,,,,,,,,ji6detn,19,Human-Advanced,
11,136,,,,,,,,ji6detn,19,Human-Advanced,
15,136,,,,,,,,ji6detn,19,Human-Advanced,
8,137,,,,,,,,1.31E+18,9,GPT-3.5,writer_profile
10,137,,,,,,,,1.31E+18,9,GPT-3.5,writer_profile
11,137,,,,,,,,1.31E+18,9,GPT-3.5,writer_profile
15,137,,,,,,,,1.31E+18,9,GPT-3.5,writer_profile
8,138,,,,,,,,6.48E+18,12,Mixtral-8x7B,writer_profile
10,138,,,,,,,,6.48E+18,12,Mixtral-8x7B,writer_profile
11,138,,,,,,,,6.48E+18,12,Mixtral-8x7B,writer_profile
15,138,,,,,,,,6.48E+18,12,Mixtral-8x7B,writer_profile
8,139,,,,,,,,-5.99E+18,8,GPT-3.5,plan_write
10,139,,,,,,,,-5.99E+18,8,GPT-3.5,plan_write
11,139,,,,,,,,-5.99E+18,8,GPT-3.5,plan_write
15,139,,,,,,,,-5.99E+18,8,GPT-3.5,plan_write
8,140,,,,,,,,j90nocp,0,Human-Novice,
10,140,,,,,,,,j90nocp,0,Human-Novice,
11,140,,,,,,,,j90nocp,0,Human-Novice,
15,140,,,,,,,,j90nocp,0,Human-Novice,
8,141,,,,,,,,-1.98E+18,17,Llama-2-70B,writer_profile
10,141,,,,,,,,-1.98E+18,17,Llama-2-70B,writer_profile
11,141,,,,,,,,-1.98E+18,17,Llama-2-70B,writer_profile
15,141,If someone told me that they lived every life or something I'd brush them off and laugh at them instead of believing them. I believe most people would do the same. ,,,,,,,-1.98E+18,17,Llama-2-70B,writer_profile
8,142,,,,,,,,j5eixnu,7,Human-Intermediate,
10,142,,,,,,,,j5eixnu,7,Human-Intermediate,
11,142,,,,,,,,j5eixnu,7,Human-Intermediate,
15,142,,,,,,,,j5eixnu,7,Human-Intermediate,
8,143,,,,,I was actually kind of unsure about whether this was written by an LLM or a human until the ending. ,,,7.55E+18,1,Mixtral-8x7B,writer_profile
10,143,,,,,,,,7.55E+18,1,Mixtral-8x7B,writer_profile
11,143,,,,,,,,7.55E+18,1,Mixtral-8x7B,writer_profile
15,143,,,,,,not ever specific,,7.55E+18,1,Mixtral-8x7B,writer_profile
8,144,,,,,,,,k9pi5jd,18,Human-Intermediate,
10,144,,,,,,,,k9pi5jd,18,Human-Intermediate,
11,144,,,,,,,,k9pi5jd,18,Human-Intermediate,
15,144,,,,,,,,k9pi5jd,18,Human-Intermediate,
8,145,,,,,,,,iuuuykf,2,Human-Intermediate,
10,145,,,,,,,"I thought the reaction from the humans in the story was very realistic because humans usually have to work 40 hours a week just to sustain a living and sometimes even more. Additionally, it cost hundreds of dollars to pay for medical care. Thus, the humans were filled with joy from having all of their needs met by the aliens for only working 16 hours a week. The real world is usually much more cutthroat but the aliens don't know that. So I think that the story was likely written by a human because of the connection to the real world and the humans thinking there is a catch. ",iuuuykf,2,Human-Intermediate,
11,145,,,,,,,,iuuuykf,2,Human-Intermediate,
15,145,,,,,,,,iuuuykf,2,Human-Intermediate,
8,146,,,,,,,,8.99E+18,18,GPT-3.5,writer_profile
10,146,,,,,,,,8.99E+18,18,GPT-3.5,writer_profile
11,146,,,,,,,,8.99E+18,18,GPT-3.5,writer_profile
15,146,,,,,,,,8.99E+18,18,GPT-3.5,writer_profile
8,147,,,,,,,,jijixcv,5,Human-Intermediate,
10,147,,,,,,,,jijixcv,5,Human-Intermediate,
11,147,,,,,,,,jijixcv,5,Human-Intermediate,
15,147,,,,,,,,jijixcv,5,Human-Intermediate,
8,148,,,,,,,,iy9az9h,13,Human-Advanced,
10,148,,,,,,,,iy9az9h,13,Human-Advanced,
11,148,,,,,,,,iy9az9h,13,Human-Advanced,
15,148,,,,,,,,iy9az9h,13,Human-Advanced,
8,149,,,,,,,,3.38E+18,6,GPT-3.5,plan_write
10,149,,,,,,,,3.38E+18,6,GPT-3.5,plan_write
11,149,,,,,,,,3.38E+18,6,GPT-3.5,plan_write
15,149,,,,,,,,3.38E+18,6,GPT-3.5,plan_write
8,150,the mom voicemail and thinking about college admissions,,,,,,,j1c78o2,6,Human-Novice,
10,150,,,,,,,,j1c78o2,6,Human-Novice,
11,150,,,,,,,,j1c78o2,6,Human-Novice,
15,150,,,,,,,,j1c78o2,6,Human-Novice,
8,151,,,,,,,,jhlrfd8,16,Human-Intermediate,
10,151,,,,,,,,jhlrfd8,16,Human-Intermediate,
11,151,,,,,,,last bit kind of confusing,jhlrfd8,16,Human-Intermediate,
15,151,,,,,,,,jhlrfd8,16,Human-Intermediate,
8,152,,,,,,,,ix8xuyh,8,Human-Intermediate,
10,152,,,,,,,,ix8xuyh,8,Human-Intermediate,
11,152,,,,,,,,ix8xuyh,8,Human-Intermediate,
15,152,,,,,,,,ix8xuyh,8,Human-Intermediate,
8,153,,,,,,,Why is there so much grammar errors in the story? The ending seems to have been cut off too. ,iyj6vgn,14,Human-Novice,
10,153,,,,,,,,iyj6vgn,14,Human-Novice,
11,153,,,,,,,,iyj6vgn,14,Human-Novice,
15,153,,,,,,,,iyj6vgn,14,Human-Novice,
8,154,,,,,,,,-1.83E+18,16,Llama-2-13B,writer_profile
10,154,,,,,,,,-1.83E+18,16,Llama-2-13B,writer_profile
11,154,,,,,,,,-1.83E+18,16,Llama-2-13B,writer_profile
15,154,,,,,,,,-1.83E+18,16,Llama-2-13B,writer_profile
8,155,,,,,,,,j1roodk,10,Human-Advanced,
10,155,,,,,,,,j1roodk,10,Human-Advanced,
11,155,,,,,,the description of death seems written by a human,,j1roodk,10,Human-Advanced,
15,155,,,,,,,,j1roodk,10,Human-Advanced,
8,156,,,,,,,,7.88E+18,7,Mixtral-8x7B,plan_write
10,156,,,,,,,,7.88E+18,7,Mixtral-8x7B,plan_write
11,156,,,,,,,,7.88E+18,7,Mixtral-8x7B,plan_write
15,156,,,,,,,,7.88E+18,7,Mixtral-8x7B,plan_write
8,157,,,,,,,Again this story seems to have had big formatting errors in the google form ,iy9pmac,13,Human-Intermediate,
10,157,,,,,,,,iy9pmac,13,Human-Intermediate,
11,157,,,,,,,,iy9pmac,13,Human-Intermediate,
15,157,,,,,,it ended abruptly,,iy9pmac,13,Human-Intermediate,
8,158,,,,,,,,5.98E+18,13,Mixtral-8x7B,plan_write
10,158,,,,,,,,5.98E+18,13,Mixtral-8x7B,plan_write
11,158,,,,,,,,5.98E+18,13,Mixtral-8x7B,plan_write
15,158,,,,,,,,5.98E+18,13,Mixtral-8x7B,plan_write
8,159,,,The description of entering the horses mind was well done ,,The thematic arc made sense but it was written robotically ,,,4.37E+18,16,Mixtral-8x7B,plan_write
10,159,,,,,,,,4.37E+18,16,Mixtral-8x7B,plan_write
11,159,,,,,,,,4.37E+18,16,Mixtral-8x7B,plan_write
15,159,,,,,,,,4.37E+18,16,Mixtral-8x7B,plan_write
8,160,,,,,,,The way this was written almost reminded me of Mary Shelley���s writing style and the loneliness evoked in Franken,4.55E+18,19,GPT-3.5,writer_profile
10,160,,,,,,,,4.55E+18,19,GPT-3.5,writer_profile
11,160,,,,,,,,4.55E+18,19,GPT-3.5,writer_profile
15,160,,,,,,,,4.55E+18,19,GPT-3.5,writer_profile
8,161,,,,,,,,k9pw9gi,18,Human-Novice,
10,161,,,,,,,,k9pw9gi,18,Human-Novice,
11,161,,,,,,,,k9pw9gi,18,Human-Novice,
15,161,,,,,,,,k9pw9gi,18,Human-Novice,
8,162,Mothers indignant anger makes sense but the ending is rather hurried ,,,,,,,j42m4p7,11,Human-Novice,
10,162,,,,,,,,j42m4p7,11,Human-Novice,
11,162,,,,,,,,j42m4p7,11,Human-Novice,
15,162,,,,,,,,j42m4p7,11,Human-Novice,
8,163,,,,,,,,-8.93E+18,3,Mixtral-8x7B,plan_write
10,163,,,,,,,,-8.93E+18,3,Mixtral-8x7B,plan_write
11,163,,,,,,,,-8.93E+18,3,Mixtral-8x7B,plan_write
15,163,,,,,,,,-8.93E+18,3,Mixtral-8x7B,plan_write
8,164,,,,,,,,-8.82E+17,10,GPT-3.5,plan_write
10,164,,,,,,,,-8.82E+17,10,GPT-3.5,plan_write
11,164,,,,,,,,-8.82E+17,10,GPT-3.5,plan_write
15,164,,,,,,,,-8.82E+17,10,GPT-3.5,plan_write
8,165,,,,,,,,-8.76E+18,17,GPT-3.5,plan_write
10,165,,,,,,,,-8.76E+18,17,GPT-3.5,plan_write
11,165,,,,,,,,-8.76E+18,17,GPT-3.5,plan_write
15,165,,,,,,,,-8.76E+18,17,GPT-3.5,plan_write
8,166,,,"good prose, but a cliched plot and ending ",,,,,7.99E+18,10,Mixtral-8x7B,writer_profile
10,166,,,,,,,,7.99E+18,10,Mixtral-8x7B,writer_profile
11,166,,,,,,,,7.99E+18,10,Mixtral-8x7B,writer_profile
15,166,,,,,,,,7.99E+18,10,Mixtral-8x7B,writer_profile
8,167,"Dialogue in the beginning between darkblade, apex, and black heart is realistic��� ending with a remorseless murder of father doesn���t ",,,,,,,3.34E+18,18,Llama-2-70B,plan_write
10,167,,,,,,,,3.34E+18,18,Llama-2-70B,plan_write
11,167,,,,,,just feels impersonal,,3.34E+18,18,Llama-2-70B,plan_write
15,167,,,,,,,,3.34E+18,18,Llama-2-70B,plan_write
8,168,,,,,,,,iqddj75,4,Human-Intermediate,
10,168,,,,,,,,iqddj75,4,Human-Intermediate,
11,168,,,,,,,,iqddj75,4,Human-Intermediate,
15,168,,,,,,,,iqddj75,4,Human-Intermediate,
8,169,,,,,,,,-4.64E+18,2,Mixtral-8x7B,writer_profile
10,169,,,,,,,,-4.64E+18,2,Mixtral-8x7B,writer_profile
11,169,,,,,,seems pattern on LLM authorship to always talk about hope ,,-4.64E+18,2,Mixtral-8x7B,writer_profile
15,169,,,,,,,,-4.64E+18,2,Mixtral-8x7B,writer_profile
8,170,,,,,,"There have already appeared multiple stories in this format, several shallow characters with differing perspectives ",,-5.60E+18,2,GPT-3.5,plan_write
10,170,,,,,,,,-5.60E+18,2,GPT-3.5,plan_write
11,170,,,,,,always talking about hope,,-5.60E+18,2,GPT-3.5,plan_write
15,170,,,,,,,,-5.60E+18,2,GPT-3.5,plan_write
8,171,,,,,,,,jhvc2cd,16,Human-Novice,
10,171,,,,,,,,jhvc2cd,16,Human-Novice,
11,171,,,,,,,,jhvc2cd,16,Human-Novice,
15,171,,,,,,,,jhvc2cd,16,Human-Novice,
8,172,,,,,,,,1.42E+18,6,Mixtral-8x7B,writer_profile
10,172,,,,,,,,1.42E+18,6,Mixtral-8x7B,writer_profile
11,172,,,,,,,,1.42E+18,6,Mixtral-8x7B,writer_profile
15,172,,,,,,,,1.42E+18,6,Mixtral-8x7B,writer_profile
8,173,,,,,,,,1.34E+17,8,Mixtral-8x7B,writer_profile
10,173,,,,,,,,1.34E+17,8,Mixtral-8x7B,writer_profile
